nimo_id,TIC,gaiadr3_source_id,other_id,group,srmper,# of sectors,Sector 1,Sector 2,Sector 3,Sector 4,Sector 5,Sector 6,Sector 7,Sector 8,Sector 9,Sector 10,Sector 11,Sector 12,Sector 13,Sector 14,Sector 15,Sector 16,Sector 17,Sector 18,Sector 19,Sector 20,Sector 21,Sector 22,Sector 23,Sector 24,Sector 25,Sector 26,Sector 27,Sector 28,Sector 29,Sector 30,Sector 31,Sector 32,Sector 33,Sector 34,Sector 35,Sector 36,Sector 37,Sector 38,Sector 39,Sector 40,Sector 41,Sector 42,Sector 43,Sector 44,Sector 45,Sector 46,Sector 47,Sector 48,Sector 49,Sector 50,Sector 51,Sector 52,Sector 53,Sector 54,Sector 55,Sector 56,Sector 57,Sector 58,Sector 59,Sector 60,Sector 61,Sector 62,Sector 63,Sector 64,Sector 65,Sector 66,Sector 67,Sector 68,Sector 69,Sector 70,Sector 71,Sector 72,Sector 73,Sector 74,Sector 75,Sector 76,Sector 77,Sector 78,Sector 79,Sector 80,Sector 81,Sector 82,Sector 83,Sector 84,Sector 85,Sector 86,Sector 87,Sector 88,Sector 89,Sector 90,Sector 91,Sector 92,Sector 93,Sector 94,Sector 95,Sector 96,Sector 97,Sector 98,Sector 99,Sector 100,Sector 101
1,350559457,4767439021687332096,2MASS J05461532-5547521,car,Nina,45,SPOC-120,SPOC-120,SPOC-120,SPOC-120,SPOC-120,SPOC-120,SPOC-120,SPOC-120,SPOC-120,SPOC-120,SPOC-120,SPOC-120,SPOC-120,,,,,,,,,,,,,,SPOC-120,SPOC-120,SPOC-120,SPOC-120,SPOC-120,SPOC-120,SPOC-120,SPOC-120,SPOC-120,SPOC-120,SPOC-120,SPOC-120,FFI-10min,,,,,,,,,,,,,,,,,,,,,,SPOC-120,SPOC-120,SPOC-120,SPOC-120,SPOC-120,FFI-200s,SPOC-120,SPOC-120,SPOC-120,,,,,,,,,,,,,,,,,,SPOC-120, SPOC-120,SPOC-120,SPOC-120,,,FFI-200s,SPOC-120,SPOC-120,FFI-200s,SPOC-120,SPOC-120,,,
2,360558208,5838713408461840256,5838713408461840256,epsc,Oliver,7,,,,,,,,,,,FFI-30min,FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-10min,FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,FFI-200s
3,327549481,5855642348500099072,,epsc,Oliver,7,,,,,,,,,,,FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,FFI-200s,FFI-200s
4,454335224,5227840175588831744,,epsc,Oliver,6,,,,,,,,,,,SPOC-120,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,FFI-10min,FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,410981941,5233403459606590720,,epsc,Oliver,6,,,,,,,,,,,FFI-30min,FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,FFI-10min,FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,408134420,3387055125667571968,UCAC4 505-010847,thor,isa,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,,,
7,284905551,3338707537810168448,UCAC4 500-011502,thor,isa,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,,,
8,373494637,3386885525999518976,UCAC4 504-011260,thor,isa,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,
9,449260853,3237508762467678336,2MASS J05194398+0535021,thor,isa,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,
10,24604498,3209175447332278144,UCAC4 420-009126,thor,isa,3,,,,,,FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,
11,158817023,3319628434087776000,2MASS J05492632+0405379,thor,Oliver,3,,,,,,FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,
12,345772521,32410488806715098,UCAC2 34053837,thor,isa,3,,,,,,FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,,,
13,311272948,3339253170454118272,UCAC4 506-011567,thor,isa,4,,,,,,FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,,,
14,200001428,3320524914022156288,UCAC3 191-27773,thor,oliver ,2,,,,,,FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,
15,345773622,3238048652740273408,2MASS J05243009+0640349,thor,isa,3,,,,,,FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,,,
16,389248164,3341538436653898240,2MASS J05373000+1329344,thor,Oliver,7,,,,,,FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-10min,FFI-10min,FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,,,
17,264461317,3221837251438378624,UCAC4 453-010282,thor,isa,3,,,,,,FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,,,
18,389248318,3341556922194703232,UCAC4 518-014080,thor,Oliver,7,,,,,,FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,SPOC-120,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,
19,365637508,3237973752806799360,2MASS J05253253+0625336,thor,isa,3,,,,,,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,
20,365692367,3334165249117507968,UCAC3 195-25265,thor,isa,3,,,,,,FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,
21,365744968,3337724677494561792,2MASS J05264886+0928055,thor,isa,3,,,,,,FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,
22,365747298,3238063569162793472,2MASS J05270634+0650377,thor,isa,3,,,,,,FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,,,
23,302417241,,2MASS J05274313+1446121,thor,isa,7,,,,,,FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-10min,,,,,,,,,,,SPOC-120,SPOC-120,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,,,
24,302417238,3389908598860532224,UCAC3 210-28152,thor,isa,7,,,,,,FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,,,,,,,,,SPOC-120,SPOC-120,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,,,
25,365782379,3238015740407127936,UCAC4 484-011648,thor,isa,3,,,,,,FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,
26,264679930,3221986647580887296,UCAC4 457-010566,thor,isa,3,,,,,,FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,,,
27,138901588,3237712515716135936,UCAC4 480-012053,thor,isa,3,,,,,,FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,
28,50745567,3216729878197029120,UCAC4 435-010412,thor,isa,3,,,,,,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,,,
29,52583022,3341238918520502912,UCAC3 207-29444,Thor,Oliver,7,,,,,,FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,SPOC-120,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,
30,52373764,3341625087618092672,UCAC4 520-013626,thor,Oliver,7,,,,,,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,SPOC-120,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,
31,50745533,3216753556349327232,UCAC3 174-23850,thor,isa,3,,,,,,FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,,,
32,436103626,3339935348702249472,UCAC4 508-013174,thor,isa,4,,,,,,FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,,,
33,152176559,5396105586807802880,V1217 Cen,twa,Nina,5,,,,,,,,,,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,,,,,,,SPOC-120,,
34,429152614,3485098646237003136,CD-26 8623B,twa,Mark,7,,,,,,,,,SPOC-120,FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,,,,,,,,FFI-200s,FFI-200s
35,57513388,5398663566249861120,TWA 5 A,twa,Nina,6,,,,,,,,,,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,,,,,,,,FFI-200s,FFI-200s
36,29847084,5400050222210919680,2MASS J11035165-3711483,twa,Mark,7,,,,,,,,,FFI-30min,FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,,,,,,,,,SPOC-120,FFI-200s,
37,23325655,5452498541764280832,TWA 2,twa,Nina,5,,,,,,,,,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,,,,,,,,,,FFI-200s,
38,20414865,3532218595001808768,2MASS J11112820-2655027,twa,Mark,5,,,,,,,,,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,,,,,,,,,,FFI-200s,
39,429152610,3485098646237003392,CD-26 8623,twa,Nina,7,,,,,,,,,SPOC-120,FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,,,,,,,,FFI-200s,FFI-200s
40,130722957,,2MASS J12265135-3316124,twa,Mark,4,,,,,,,,,,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s
41,144221008,6147117722735170176,HD 109573 B,twa,Nina,4,,,,,,,,,,FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,
42,142391477,3466308095597260032,TWA 23,twa,Nina,6,,,,,,,,,,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,,,,,,,,FFI-200s,FFI-200s
43,272349442,5355751581627180288,TWA 22,twa,Mark,8,,,,,,,,,SPOC-120,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,,,,,,,FFI-200s,,
44,144221039,6147119548096085376,TWA 11C,twa,Mark,5,,,,,,,,,,FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,FFI-200s
45,144155582,6146107993101452160,V1252 Cen,twa,Nina,5,,,,,,,,,,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,FFI-200s
46,134976537,6151330196594603648,2MASS J12175920-3734433,twa,Mark,6,,,,,,,,,,FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,,,,,,,,,,FFI-200s,FFI-200s
47,188172972,5470330146463996032,,twa,Mark,5,,,,,,,,,FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,,,,,,,,,,FFI-200s,
48,404012623,6128493718050020096,V1250 Cen,twa,Nina,7,,,,,,,,,,SPOC-120,FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,FFI-200s,FFI-200s
49,404012628,6128493752409759744,V1251 Cen,twa,Nina,7,,,,,,,,,,FFI-30min,FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,FFI-200s,FFI-200s
50,91474691,5348165127505382400,UCAC4 186-069483,twa,Mark,7,,,,,,,,,,FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,,,,,,,FFI-200s,FFI-200s,
51,72564426,6132146982868270976,TWA 20,twa,Nina,6,,,,,,,,,,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,FFI-200s,FFI-200s
52,54147487,5444751795151480320,CE Ant,twa,Nina,6,,,,,,,,,FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,,,,,,,,,FFI-200s,FFI-200s,
53,389253973,5378040370245563008,TWA 45,twa,Mark,7,,,,,,,,,,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,,,,,,,SPOC-120,FFI-200s,FFI-200s
54,142173958,3465944500845668224,TWA 35,twa,Mark,5,,,,,,,,,,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,,,,,,,,,,FFI-200s,FFI-200s
55,71029363,,TWA 39,twa,Mark,8,,,,,,,,,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,SPOC-120,SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,FFI-200s,,,,,,,,,,SPOC-120,FFI-200s,
