nimo_ids_oid,nimo_id,TIC,gaiadr3_source_id,group,num_sectors,Sector,name,lc_name,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot
168,1,350559457,4767439021687332096,car,45,61,SPOC-120,TIC-350559457-61-SPOC-120,1636148068921376768,Gaia DR3 4767439021687332096,4767439021687332096,407240101,2016.0,86.56409097607435,0.019196391,-55.7976307421415,0.019586729,22.652160286482445,0.019728813,1148.1765,54.4584,30.943970524212922,0.024989028,44.812813260116094,0.02571004,-0.079610154,0.006979389,-0.2515807,-0.0018594242,0.23835419,0.039980263,-0.32627574,0.15771079,-0.2758599,-0.18719545,322,0,321,1,1.302505,470.86078,0.118655145,4.57231,31,false,1.2183776,,,,,,,,37,26,0.03902647,40,16,0,0.0073607382,136.00037,0,0,1.051183,0.25154144,0.09653873,0.03349173,0.11502289,-55.88382,37.788887,-6.0568333,-22.356049,false,329,25816.55329079568,21.350004,1209.206,14.657621,37,3053.056924797927,22.067183,138.35281,16.626705,36,36498.18006576201,94.59613,385.83163,13.342217,1.5320108,0,1,0,1,0,3.2844877,1.9690838,1.3154039,20.542782,4.169759,2,17,3,15,12.137275,,,908.82275,,3300.0,4.5,0.5,101,,,,12.778449,0.03679436,18,,NOT_AVAILABLE,263.84257933188593,-31.164534413358453,79.72411931214413,-79.11428944098408,false,false,0,true,true,false,false,false,true,true,false,1.02299225E-13,5.109795E-13,0.9999726,3009.588,3009.076,3011.4456,4.7995,4.7975,4.8055,0.0299,0.0269,0.0433,43.9333,43.8575,44.1674,6.0E-4,1.0E-4,0.0055,3.0E-4,0.0,0.0033,3.0E-4,0.0,0.0025,MARCS
207,1,350559457,4767439021687332096,car,45,67,SPOC-120,TIC-350559457-67-SPOC-120,1636148068921376768,Gaia DR3 4767439021687332096,4767439021687332096,407240101,2016.0,86.56409097607435,0.019196391,-55.7976307421415,0.019586729,22.652160286482445,0.019728813,1148.1765,54.4584,30.943970524212922,0.024989028,44.812813260116094,0.02571004,-0.079610154,0.006979389,-0.2515807,-0.0018594242,0.23835419,0.039980263,-0.32627574,0.15771079,-0.2758599,-0.18719545,322,0,321,1,1.302505,470.86078,0.118655145,4.57231,31,false,1.2183776,,,,,,,,37,26,0.03902647,40,16,0,0.0073607382,136.00037,0,0,1.051183,0.25154144,0.09653873,0.03349173,0.11502289,-55.88382,37.788887,-6.0568333,-22.356049,false,329,25816.55329079568,21.350004,1209.206,14.657621,37,3053.056924797927,22.067183,138.35281,16.626705,36,36498.18006576201,94.59613,385.83163,13.342217,1.5320108,0,1,0,1,0,3.2844877,1.9690838,1.3154039,20.542782,4.169759,2,17,3,15,12.137275,,,908.82275,,3300.0,4.5,0.5,101,,,,12.778449,0.03679436,18,,NOT_AVAILABLE,263.84257933188593,-31.164534413358453,79.72411931214413,-79.11428944098408,false,false,0,true,true,false,false,false,true,true,false,1.02299225E-13,5.109795E-13,0.9999726,3009.588,3009.076,3011.4456,4.7995,4.7975,4.8055,0.0299,0.0269,0.0433,43.9333,43.8575,44.1674,6.0E-4,1.0E-4,0.0055,3.0E-4,0.0,0.0033,3.0E-4,0.0,0.0025,MARCS
104,1,350559457,4767439021687332096,car,45,36,SPOC-120,TIC-350559457-36-SPOC-120,1636148068921376768,Gaia DR3 4767439021687332096,4767439021687332096,407240101,2016.0,86.56409097607435,0.019196391,-55.7976307421415,0.019586729,22.652160286482445,0.019728813,1148.1765,54.4584,30.943970524212922,0.024989028,44.812813260116094,0.02571004,-0.079610154,0.006979389,-0.2515807,-0.0018594242,0.23835419,0.039980263,-0.32627574,0.15771079,-0.2758599,-0.18719545,322,0,321,1,1.302505,470.86078,0.118655145,4.57231,31,false,1.2183776,,,,,,,,37,26,0.03902647,40,16,0,0.0073607382,136.00037,0,0,1.051183,0.25154144,0.09653873,0.03349173,0.11502289,-55.88382,37.788887,-6.0568333,-22.356049,false,329,25816.55329079568,21.350004,1209.206,14.657621,37,3053.056924797927,22.067183,138.35281,16.626705,36,36498.18006576201,94.59613,385.83163,13.342217,1.5320108,0,1,0,1,0,3.2844877,1.9690838,1.3154039,20.542782,4.169759,2,17,3,15,12.137275,,,908.82275,,3300.0,4.5,0.5,101,,,,12.778449,0.03679436,18,,NOT_AVAILABLE,263.84257933188593,-31.164534413358453,79.72411931214413,-79.11428944098408,false,false,0,true,true,false,false,false,true,true,false,1.02299225E-13,5.109795E-13,0.9999726,3009.588,3009.076,3011.4456,4.7995,4.7975,4.8055,0.0299,0.0269,0.0433,43.9333,43.8575,44.1674,6.0E-4,1.0E-4,0.0055,3.0E-4,0.0,0.0033,3.0E-4,0.0,0.0025,MARCS
206,1,350559457,4767439021687332096,car,45,66,FFI-200s,TIC-350559457-66-FFI-200s,1636148068921376768,Gaia DR3 4767439021687332096,4767439021687332096,407240101,2016.0,86.56409097607435,0.019196391,-55.7976307421415,0.019586729,22.652160286482445,0.019728813,1148.1765,54.4584,30.943970524212922,0.024989028,44.812813260116094,0.02571004,-0.079610154,0.006979389,-0.2515807,-0.0018594242,0.23835419,0.039980263,-0.32627574,0.15771079,-0.2758599,-0.18719545,322,0,321,1,1.302505,470.86078,0.118655145,4.57231,31,false,1.2183776,,,,,,,,37,26,0.03902647,40,16,0,0.0073607382,136.00037,0,0,1.051183,0.25154144,0.09653873,0.03349173,0.11502289,-55.88382,37.788887,-6.0568333,-22.356049,false,329,25816.55329079568,21.350004,1209.206,14.657621,37,3053.056924797927,22.067183,138.35281,16.626705,36,36498.18006576201,94.59613,385.83163,13.342217,1.5320108,0,1,0,1,0,3.2844877,1.9690838,1.3154039,20.542782,4.169759,2,17,3,15,12.137275,,,908.82275,,3300.0,4.5,0.5,101,,,,12.778449,0.03679436,18,,NOT_AVAILABLE,263.84257933188593,-31.164534413358453,79.72411931214413,-79.11428944098408,false,false,0,true,true,false,false,false,true,true,false,1.02299225E-13,5.109795E-13,0.9999726,3009.588,3009.076,3011.4456,4.7995,4.7975,4.8055,0.0299,0.0269,0.0433,43.9333,43.8575,44.1674,6.0E-4,1.0E-4,0.0055,3.0E-4,0.0,0.0033,3.0E-4,0.0,0.0025,MARCS
169,1,350559457,4767439021687332096,car,45,62,SPOC-120,TIC-350559457-62-SPOC-120,1636148068921376768,Gaia DR3 4767439021687332096,4767439021687332096,407240101,2016.0,86.56409097607435,0.019196391,-55.7976307421415,0.019586729,22.652160286482445,0.019728813,1148.1765,54.4584,30.943970524212922,0.024989028,44.812813260116094,0.02571004,-0.079610154,0.006979389,-0.2515807,-0.0018594242,0.23835419,0.039980263,-0.32627574,0.15771079,-0.2758599,-0.18719545,322,0,321,1,1.302505,470.86078,0.118655145,4.57231,31,false,1.2183776,,,,,,,,37,26,0.03902647,40,16,0,0.0073607382,136.00037,0,0,1.051183,0.25154144,0.09653873,0.03349173,0.11502289,-55.88382,37.788887,-6.0568333,-22.356049,false,329,25816.55329079568,21.350004,1209.206,14.657621,37,3053.056924797927,22.067183,138.35281,16.626705,36,36498.18006576201,94.59613,385.83163,13.342217,1.5320108,0,1,0,1,0,3.2844877,1.9690838,1.3154039,20.542782,4.169759,2,17,3,15,12.137275,,,908.82275,,3300.0,4.5,0.5,101,,,,12.778449,0.03679436,18,,NOT_AVAILABLE,263.84257933188593,-31.164534413358453,79.72411931214413,-79.11428944098408,false,false,0,true,true,false,false,false,true,true,false,1.02299225E-13,5.109795E-13,0.9999726,3009.588,3009.076,3011.4456,4.7995,4.7975,4.8055,0.0299,0.0269,0.0433,43.9333,43.8575,44.1674,6.0E-4,1.0E-4,0.0055,3.0E-4,0.0,0.0033,3.0E-4,0.0,0.0025,MARCS
4,1,350559457,4767439021687332096,car,45,4,SPOC-120,TIC-350559457-4-SPOC-120,1636148068921376768,Gaia DR3 4767439021687332096,4767439021687332096,407240101,2016.0,86.56409097607435,0.019196391,-55.7976307421415,0.019586729,22.652160286482445,0.019728813,1148.1765,54.4584,30.943970524212922,0.024989028,44.812813260116094,0.02571004,-0.079610154,0.006979389,-0.2515807,-0.0018594242,0.23835419,0.039980263,-0.32627574,0.15771079,-0.2758599,-0.18719545,322,0,321,1,1.302505,470.86078,0.118655145,4.57231,31,false,1.2183776,,,,,,,,37,26,0.03902647,40,16,0,0.0073607382,136.00037,0,0,1.051183,0.25154144,0.09653873,0.03349173,0.11502289,-55.88382,37.788887,-6.0568333,-22.356049,false,329,25816.55329079568,21.350004,1209.206,14.657621,37,3053.056924797927,22.067183,138.35281,16.626705,36,36498.18006576201,94.59613,385.83163,13.342217,1.5320108,0,1,0,1,0,3.2844877,1.9690838,1.3154039,20.542782,4.169759,2,17,3,15,12.137275,,,908.82275,,3300.0,4.5,0.5,101,,,,12.778449,0.03679436,18,,NOT_AVAILABLE,263.84257933188593,-31.164534413358453,79.72411931214413,-79.11428944098408,false,false,0,true,true,false,false,false,true,true,false,1.02299225E-13,5.109795E-13,0.9999726,3009.588,3009.076,3011.4456,4.7995,4.7975,4.8055,0.0299,0.0269,0.0433,43.9333,43.8575,44.1674,6.0E-4,1.0E-4,0.0055,3.0E-4,0.0,0.0033,3.0E-4,0.0,0.0025,MARCS
31,1,350559457,4767439021687332096,car,45,9,SPOC-120,TIC-350559457-9-SPOC-120,1636148068921376768,Gaia DR3 4767439021687332096,4767439021687332096,407240101,2016.0,86.56409097607435,0.019196391,-55.7976307421415,0.019586729,22.652160286482445,0.019728813,1148.1765,54.4584,30.943970524212922,0.024989028,44.812813260116094,0.02571004,-0.079610154,0.006979389,-0.2515807,-0.0018594242,0.23835419,0.039980263,-0.32627574,0.15771079,-0.2758599,-0.18719545,322,0,321,1,1.302505,470.86078,0.118655145,4.57231,31,false,1.2183776,,,,,,,,37,26,0.03902647,40,16,0,0.0073607382,136.00037,0,0,1.051183,0.25154144,0.09653873,0.03349173,0.11502289,-55.88382,37.788887,-6.0568333,-22.356049,false,329,25816.55329079568,21.350004,1209.206,14.657621,37,3053.056924797927,22.067183,138.35281,16.626705,36,36498.18006576201,94.59613,385.83163,13.342217,1.5320108,0,1,0,1,0,3.2844877,1.9690838,1.3154039,20.542782,4.169759,2,17,3,15,12.137275,,,908.82275,,3300.0,4.5,0.5,101,,,,12.778449,0.03679436,18,,NOT_AVAILABLE,263.84257933188593,-31.164534413358453,79.72411931214413,-79.11428944098408,false,false,0,true,true,false,false,false,true,true,false,1.02299225E-13,5.109795E-13,0.9999726,3009.588,3009.076,3011.4456,4.7995,4.7975,4.8055,0.0299,0.0269,0.0433,43.9333,43.8575,44.1674,6.0E-4,1.0E-4,0.0055,3.0E-4,0.0,0.0033,3.0E-4,0.0,0.0025,MARCS
186,1,350559457,4767439021687332096,car,45,64,SPOC-120,TIC-350559457-64-SPOC-120,1636148068921376768,Gaia DR3 4767439021687332096,4767439021687332096,407240101,2016.0,86.56409097607435,0.019196391,-55.7976307421415,0.019586729,22.652160286482445,0.019728813,1148.1765,54.4584,30.943970524212922,0.024989028,44.812813260116094,0.02571004,-0.079610154,0.006979389,-0.2515807,-0.0018594242,0.23835419,0.039980263,-0.32627574,0.15771079,-0.2758599,-0.18719545,322,0,321,1,1.302505,470.86078,0.118655145,4.57231,31,false,1.2183776,,,,,,,,37,26,0.03902647,40,16,0,0.0073607382,136.00037,0,0,1.051183,0.25154144,0.09653873,0.03349173,0.11502289,-55.88382,37.788887,-6.0568333,-22.356049,false,329,25816.55329079568,21.350004,1209.206,14.657621,37,3053.056924797927,22.067183,138.35281,16.626705,36,36498.18006576201,94.59613,385.83163,13.342217,1.5320108,0,1,0,1,0,3.2844877,1.9690838,1.3154039,20.542782,4.169759,2,17,3,15,12.137275,,,908.82275,,3300.0,4.5,0.5,101,,,,12.778449,0.03679436,18,,NOT_AVAILABLE,263.84257933188593,-31.164534413358453,79.72411931214413,-79.11428944098408,false,false,0,true,true,false,false,false,true,true,false,1.02299225E-13,5.109795E-13,0.9999726,3009.588,3009.076,3011.4456,4.7995,4.7975,4.8055,0.0299,0.0269,0.0433,43.9333,43.8575,44.1674,6.0E-4,1.0E-4,0.0055,3.0E-4,0.0,0.0033,3.0E-4,0.0,0.0025,MARCS
246,1,350559457,4767439021687332096,car,45,94,SPOC-120,TIC-350559457-94-SPOC-120,1636148068921376768,Gaia DR3 4767439021687332096,4767439021687332096,407240101,2016.0,86.56409097607435,0.019196391,-55.7976307421415,0.019586729,22.652160286482445,0.019728813,1148.1765,54.4584,30.943970524212922,0.024989028,44.812813260116094,0.02571004,-0.079610154,0.006979389,-0.2515807,-0.0018594242,0.23835419,0.039980263,-0.32627574,0.15771079,-0.2758599,-0.18719545,322,0,321,1,1.302505,470.86078,0.118655145,4.57231,31,false,1.2183776,,,,,,,,37,26,0.03902647,40,16,0,0.0073607382,136.00037,0,0,1.051183,0.25154144,0.09653873,0.03349173,0.11502289,-55.88382,37.788887,-6.0568333,-22.356049,false,329,25816.55329079568,21.350004,1209.206,14.657621,37,3053.056924797927,22.067183,138.35281,16.626705,36,36498.18006576201,94.59613,385.83163,13.342217,1.5320108,0,1,0,1,0,3.2844877,1.9690838,1.3154039,20.542782,4.169759,2,17,3,15,12.137275,,,908.82275,,3300.0,4.5,0.5,101,,,,12.778449,0.03679436,18,,NOT_AVAILABLE,263.84257933188593,-31.164534413358453,79.72411931214413,-79.11428944098408,false,false,0,true,true,false,false,false,true,true,false,1.02299225E-13,5.109795E-13,0.9999726,3009.588,3009.076,3011.4456,4.7995,4.7975,4.8055,0.0299,0.0269,0.0433,43.9333,43.8575,44.1674,6.0E-4,1.0E-4,0.0055,3.0E-4,0.0,0.0033,3.0E-4,0.0,0.0025,MARCS
151,1,350559457,4767439021687332096,car,45,39,FFI-10min,TIC-350559457-39-FFI-10min,1636148068921376768,Gaia DR3 4767439021687332096,4767439021687332096,407240101,2016.0,86.56409097607435,0.019196391,-55.7976307421415,0.019586729,22.652160286482445,0.019728813,1148.1765,54.4584,30.943970524212922,0.024989028,44.812813260116094,0.02571004,-0.079610154,0.006979389,-0.2515807,-0.0018594242,0.23835419,0.039980263,-0.32627574,0.15771079,-0.2758599,-0.18719545,322,0,321,1,1.302505,470.86078,0.118655145,4.57231,31,false,1.2183776,,,,,,,,37,26,0.03902647,40,16,0,0.0073607382,136.00037,0,0,1.051183,0.25154144,0.09653873,0.03349173,0.11502289,-55.88382,37.788887,-6.0568333,-22.356049,false,329,25816.55329079568,21.350004,1209.206,14.657621,37,3053.056924797927,22.067183,138.35281,16.626705,36,36498.18006576201,94.59613,385.83163,13.342217,1.5320108,0,1,0,1,0,3.2844877,1.9690838,1.3154039,20.542782,4.169759,2,17,3,15,12.137275,,,908.82275,,3300.0,4.5,0.5,101,,,,12.778449,0.03679436,18,,NOT_AVAILABLE,263.84257933188593,-31.164534413358453,79.72411931214413,-79.11428944098408,false,false,0,true,true,false,false,false,true,true,false,1.02299225E-13,5.109795E-13,0.9999726,3009.588,3009.076,3011.4456,4.7995,4.7975,4.8055,0.0299,0.0269,0.0433,43.9333,43.8575,44.1674,6.0E-4,1.0E-4,0.0055,3.0E-4,0.0,0.0033,3.0E-4,0.0,0.0025,MARCS
