pop_id,lcname,idtype,ID,secorcamp,author,cadence,fluxamplitude
0,TIC-59129133-5-FFI-30min,TIC,59129133,5,FFI,30min,0.04193542197421818
0,TIC-59129133-32-FFI-10min,TIC,59129133,32,FFI,10min,0.0537933698462586
0,TIC-59129133-43-SPOC-120,TIC,59129133,43,SPOC,120,0.053993284702301025
0,TIC-59129133-44-SPOC-120,TIC,59129133,44,SPOC,120,0.05675840377807617
0,TIC-59129133-71-FFI-200s,TIC,59129133,71,FFI,200s,0.04983628000940776
0,EPIC-246676629-13-EVEREST-1800,EPIC,246676629,13,EVEREST,1800,0.07544948639971194
1,TIC-59091144-5-FFI-30min,TIC,59091144,5,FFI,30min,0.023516403417737197
1,TIC-59091144-32-FFI-10min,TIC,59091144,32,FFI,10min,0.016006259183963922
1,TIC-59091144-43-SPOC-120,TIC,59091144,43,SPOC,120,0.024946266412735008
1,TIC-59091144-44-SPOC-120,TIC,59091144,44,SPOC,120,0.026277929544448853
1,TIC-59091144-71-FFI-200s,TIC,59091144,71,FFI,200s,0.025818590696268018
1,EPIC-246682490-13-EVEREST-1800,EPIC,246682490,13,EVEREST,1800,0.39635053106268503
2,TIC-118769116-43-SPOC-120,TIC,118769116,43,SPOC,120,0.08575152754783621
2,TIC-118769116-44-SPOC-120,TIC,118769116,44,SPOC,120,0.07910734415054321
2,TIC-118769116-70-FFI-200s,TIC,118769116,70,FFI,200s,0.018035510104308927
2,TIC-118769116-71-FFI-200s,TIC,118769116,71,FFI,200s,0.017754973855523826
2,EPIC-247343526-13-EVEREST-1800,EPIC,247343526,13,EVEREST,1800,0.2084609770066661
3,TIC-175594111-91-SPOC-120,TIC,175594111,91,SPOC,120,0.0912177443504334
3,EPIC-203354381-2-EVEREST-1800,EPIC,203354381,2,EVEREST,1800,0.09722760432114874
4,TIC-322928171-91-SPOC-120,TIC,322928171,91,SPOC,120,0.059474676847457886
4,EPIC-203636498-2-EVEREST-1800,EPIC,203636498,2,EVEREST,1800,0.04579257956892602
5,TIC-175743566-91-SPOC-120,TIC,175743566,91,SPOC,120,0.025267356634140037
5,EPIC-203821589-2-EVEREST-1800,EPIC,203821589,2,EVEREST,1800,0.05183742930467106
6,TIC-98689067-91-SPOC-120,TIC,98689067,91,SPOC,120,0.15496393442153944
6,EPIC-203897692-2-EVEREST-1800,EPIC,203897692,2,EVEREST,1800,0.07263685778377327
7,TIC-49072162-91-SPOC-120,TIC,49072162,91,SPOC,120,0.04132955074310307
7,EPIC-204060981-2-EVEREST-1800,EPIC,204060981,2,EVEREST,1800,0.4244542812749279
8,TIC-203822419-91-SPOC-120,TIC,203822419,91,SPOC,120,0.14787677526474008
8,EPIC-204185983-2-EVEREST-1800,EPIC,204185983,2,EVEREST,1800,0.09010002646746373
9,TIC-48908525-91-FFI-200s,TIC,48908525,91,FFI,200s,0.018005100857398038
9,EPIC-204099739-2-EVEREST-1800,EPIC,204099739,2,EVEREST,1800,0.09125966268933905
10,TIC-49815071-91-SPOC-120,TIC,49815071,91,SPOC,120,0.0498771071434021
10,EPIC-205267399-2-EVEREST-1800,EPIC,205267399,2,EVEREST,1800,0.30682620423027585
11,TIC-204792541-91-SPOC-120,TIC,204792541,91,SPOC,120,0.031555449962616056
11,EPIC-203050730-2-EVEREST-1800,EPIC,203050730,2,EVEREST,1800,0.020571916243099952
12,TIC-205060766-91-SPOC-120,TIC,205060766,91,SPOC,120,0.13201417922973646
12,EPIC-203185083-2-EVEREST-1800,EPIC,203185083,2,EVEREST,1800,0.024984455365364866
13,TIC-68502886-91-SPOC-120,TIC,68502886,91,SPOC,120,0.15723263621330263
13,EPIC-203534383-2-EVEREST-1800,EPIC,203534383,2,EVEREST,1800,0.04538340948130226
14,TIC-66750314-91-SPOC-120,TIC,66750314,91,SPOC,120,0.04272116422653205
14,EPIC-203462615-2-EVEREST-1800,EPIC,203462615,2,EVEREST,1800,0.04560939154467203
15,TIC-12659333-91-SPOC-120,TIC,12659333,91,SPOC,120,0.045641100406646595
15,EPIC-204066898-2-EVEREST-1800,EPIC,204066898,2,EVEREST,1800,0.06029936241375178
15,EPIC-204066898-15-EVEREST-1800,EPIC,204066898,15,EVEREST,1800,0.07579526920056567
16,TIC-49072492-91-SPOC-120,TIC,49072492,91,SPOC,120,0.06863462924957275
16,EPIC-204117263-2-EVEREST-1800,EPIC,204117263,2,EVEREST,1800,0.04912108461680198
17,TIC-49198167-91-SPOC-120,TIC,49198167,91,SPOC,120,0.7244858086109163
17,EPIC-204367193-2-EVEREST-1800,EPIC,204367193,2,EVEREST,1800,0.056276301851297506
18,TIC-49518818-91-SPOC-120,TIC,49518818,91,SPOC,120,0.049883192777633645
18,EPIC-205110559-2-EVEREST-1800,EPIC,205110559,2,EVEREST,1800,0.11990155664978097
19,EPIC-204918279-2-EVEREST-1800,EPIC,204918279,2,EVEREST,1800,0.02063637051097378
20,TIC-9669706-91-SPOC-120,TIC,9669706,91,SPOC,120,0.10721061825752254
20,EPIC-204897050-2-EVEREST-1800,EPIC,204897050,2,EVEREST,1800,0.0921318652108356
21,TIC-280945693-10-FFI-30min,TIC,280945693,10,FFI,30min,1.5719435973572082
21,TIC-280945693-11-SPOC-120,TIC,280945693,11,SPOC,120,0.04577251672744764
21,TIC-280945693-37-SPOC-120,TIC,280945693,37,SPOC,120,0.04752590060234074
21,TIC-280945693-38-SPOC-120,TIC,280945693,38,SPOC,120,0.04936980009078984
21,TIC-280945693-64-SPOC-120,TIC,280945693,64,SPOC,120,0.07192838191986073
21,TIC-280945693-65-SPOC-120,TIC,280945693,65,SPOC,120,0.07152438163757324
22,TIC-296790810-10-FFI-30min,TIC,296790810,10,FFI,30min,0.019026376580941085
22,TIC-296790810-11-FFI-30min,TIC,296790810,11,FFI,30min,0.032323483121677765
22,TIC-296790810-37-FFI-10min,TIC,296790810,37,FFI,10min,0.028301513308859216
22,TIC-296790810-38-FFI-10min,TIC,296790810,38,FFI,10min,0.02358213470919468
22,TIC-296790810-64-SPOC-120,TIC,296790810,64,SPOC,120,0.08388549089431752
22,TIC-296790810-65-SPOC-120,TIC,296790810,65,SPOC,120,0.11221363544464125
23,TIC-290889135-10-FFI-30min,TIC,290889135,10,FFI,30min,0.061266826600712254
23,TIC-290889135-11-FFI-30min,TIC,290889135,11,FFI,30min,0.06338153080607034
23,TIC-290889135-37-FFI-10min,TIC,290889135,37,FFI,10min,0.045581486268671756
23,TIC-290889135-38-FFI-10min,TIC,290889135,38,FFI,10min,0.04636309899505442
23,TIC-290889135-64-FFI-200s,TIC,290889135,64,FFI,200s,0.05627320264895164
23,TIC-290889135-65-FFI-200s,TIC,290889135,65,FFI,200s,0.04833038786523114
24,TIC-301432612-10-FFI-30min,TIC,301432612,10,FFI,30min,0.041427220286884725
24,TIC-301432612-11-FFI-30min,TIC,301432612,11,FFI,30min,0.038305251956927244
