pop_id,lcname,idtype,ID,secorcamp,LC_author,cadence,fluxamplitude,TIC,gaiadr3_source_id,epic_id,per,group,age_Myr,disco_paper,paper_author,year,Score,Flare,Shelf,Evolution,Notes,per_col
0,EPIC-246676629-13-EVEREST-1800,EPIC,246676629,13,EVEREST,1800,0.075449486,59129133,3392549449695395968,246676629,0.6253,Taurus,2.0,Stauffer_2018,Stauffer,2018,2,0,0,1,,one
0,TIC-59129133-5-FFI-30min,TIC,59129133,5,FFI,30min,0.041935422,59129133,3392549449695395968,246676629,0.6253,Taurus,2.0,Stauffer_2018,Stauffer,2018,2,1,0,1,,one
0,TIC-59129133-32-FFI-10min,TIC,59129133,32,FFI,10min,0.05379337,59129133,3392549449695395968,246676629,0.6253,Taurus,2.0,Stauffer_2018,Stauffer,2018,2,0,0,1,,one
0,TIC-59129133-43-SPOC-120,TIC,59129133,43,SPOC,120,0.053993285,59129133,3392549449695395968,246676629,0.6253,Taurus,2.0,Stauffer_2018,Stauffer,2018,2,2,1,1,,one
0,TIC-59129133-44-SPOC-120,TIC,59129133,44,SPOC,120,0.056758404,59129133,3392549449695395968,246676629,0.6253,Taurus,2.0,Stauffer_2018,Stauffer,2018,2,2,0,1,,one
0,TIC-59129133-71-FFI-200s,TIC,59129133,71,FFI,200s,0.04983628,59129133,3392549449695395968,246676629,0.6253,Taurus,2.0,Stauffer_2018,Stauffer,2018,2,0,1,1,,one
1,EPIC-246682490-13-K2SFF-1800,EPIC,246682490,13,K2SFF,1800,0.049146736,59091144,3392553852037339776,246682490,0.4377,Taurus,2.0,Stauffer_2018,Stauffer,2018,2,0,0,1,,one
1,TIC-59091144-5-FFI-30min,TIC,59091144,5,FFI,30min,0.023516403,59091144,3392553852037339776,246682490,0.4377,Taurus,2.0,Stauffer_2018,Stauffer,2018,1,0,0,0,Cadence lines up weirdly with period,one
1,TIC-59091144-32-FFI-10min,TIC,59091144,32,FFI,10min,0.016006259,59091144,3392553852037339776,246682490,0.4377,Taurus,2.0,Stauffer_2018,Stauffer,2018,1,1,0,1,,one
1,TIC-59091144-43-SPOC-120,TIC,59091144,43,SPOC,120,0.024946266,59091144,3392553852037339776,246682490,0.4377,Taurus,2.0,Stauffer_2018,Stauffer,2018,2,1,0,0,,one
