,,,,,,,,,,,,,,,,,,,,Period 1,,,,,Period 2,,,,
pop_id,lcname,idtype,ID,secorcamp,author_x,cadence,fluxamplitude,TIC,gaiadr3_source_id,epic_id,per,per2,group,age_Myr,disco_paper,author_y,year,calc_per,complex_status,Score,Flare,Shelf,Evolution,Notes,Score,Flare,Shelf,Evolution,Notes
0,EPIC-246676629-13-EVEREST-1800,EPIC,246676629,13,EVEREST,1800,0.075449486,59129133,3392549449695395968,246676629,0.6253,0.6332,Taurus,2,Stauffer_2018,Stauffer,2018,0.6253540293,Complex,2,0,0,1,,1,0,0,0,Very hard to tell what's going on 
0,EPIC-246676629-13-K2SFF-1800,EPIC,246676629,13,K2SFF,1800,0.083410673,59129133,3392549449695395968,246676629,0.6253,0.6332,Taurus,2,Stauffer_2018,Stauffer,2018,0.6254739751,Complex,9,0,0,0,EVEREST is actually better for this object,9,0,0,0,Cadence has lined up weirdly with period
0,TIC-59129133-5-FFI-30min,TIC,59129133,5,FFI,30min,0.041935422,59129133,3392549449695395968,246676629,0.6253,0.6332,Taurus,2,Stauffer_2018,Stauffer,2018,0.6281349043,Complex,2,1,0,1,,1,1,0,1,
0,TIC-59129133-32-FFI-10min,TIC,59129133,32,FFI,10min,0.05379337,59129133,3392549449695395968,246676629,0.6253,0.6332,Taurus,2,Stauffer_2018,Stauffer,2018,0.6287361258,Complex,2,0,0,1,,2,0,0,0,
0,TIC-59129133-43-SPOC-120,TIC,59129133,43,SPOC,120,0.053993285,59129133,3392549449695395968,246676629,0.6253,0.6332,Taurus,2,Stauffer_2018,Stauffer,2018,0.6271660061,Complex,2,2,1,1,,2,2,0,1,Literature period might be a little off
0,TIC-59129133-44-SPOC-120,TIC,59129133,44,SPOC,120,0.056758404,59129133,3392549449695395968,246676629,0.6253,0.6332,Taurus,2,Stauffer_2018,Stauffer,2018,0.625859624,Complex,2,2,0,1,,2,2,0,1,
0,TIC-59129133-71-FFI-200s,TIC,59129133,71,FFI,200s,0.04983628,59129133,3392549449695395968,246676629,0.6253,0.6332,Taurus,2,Stauffer_2018,Stauffer,2018,0.6263098982,Complex,2,0,1,1,,2,0,0,0,Can't really see the behavior of this period on the riverplot this sector
1,EPIC-246682490-13-K2SFF-1800,EPIC,246682490,13,K2SFF,1800,0.049146736,59091144,3392553852037339776,246682490,0.4377,3.6324,Taurus,2,Stauffer_2018,Stauffer,2018,3.640283744,Double Dip,2,0,0,1,,0,0,0,1,
1,EPIC-246682490-13-EVEREST-1800,EPIC,246682490,13,EVEREST,1800,0.396350531,59091144,3392553852037339776,246682490,0.4377,3.6324,Taurus,2,Stauffer_2018,Stauffer,2018,3.624520271,Complex,9,0,0,0,,9,0,0,0,
1,TIC-59091144-5-FFI-30min,TIC,59091144,5,FFI,30min,0.023516403,59091144,3392553852037339776,246682490,0.4377,3.6324,Taurus,2,Stauffer_2018,Stauffer,2018,3.64257798,Double Dip,1,0,0,0,Cadence lines up weirdly with period,0,0,0,0,
1,TIC-59091144-32-FFI-10min,TIC,59091144,32,FFI,10min,0.016006259,59091144,3392553852037339776,246682490,0.4377,3.6324,Taurus,2,Stauffer_2018,Stauffer,2018,0.4379886267,Complex,1,1,0,1,,1,1,0,0,
1,TIC-59091144-43-SPOC-120,TIC,59091144,43,SPOC,120,0.024946266,59091144,3392553852037339776,246682490,0.4377,3.6324,Taurus,2,Stauffer_2018,Stauffer,2018,0.4211810344,Complex,2,1,0,0,,1,1,0,0,
1,TIC-59091144-44-SPOC-120,TIC,59091144,44,SPOC,120,0.02627793,59091144,3392553852037339776,246682490,0.4377,3.6324,Taurus,2,Stauffer_2018,Stauffer,2018,0.4209792635,Complex,2,1,0,0,Keeps finding a third period 0.421 that has no complexity,1,1,0,0,
1,TIC-59091144-71-FFI-200s,TIC,59091144,71,FFI,200s,0.025818591,59091144,3392553852037339776,246682490,0.4377,3.6324,Taurus,2,Stauffer_2018,Stauffer,2018,3.598573662,Double Dip,2,1,0,0,,0,1,0,0,
2,EPIC-247343526-13-K2SFF-1800,EPIC,247343526,13,K2SFF,1800,0.1205886977,118769116,3411342134934571520,247343526,0.3568,,Taurus,2,Stauffer_2018,Stauffer,2018,0.35685267,Double Dip,1,0,0,0,,,,,,
2,EPIC-247343526-13-EVEREST-1800,EPIC,247343526,13,EVEREST,1800,0.208460977,118769116,3411342134934571520,247343526,0.3568,,Taurus,2,Stauffer_2018,Stauffer,2018,0.3567436627,Complex,9,0,0,0,,,,,,
2,TIC-118769116-43-SPOC-120,TIC,118769116,43,SPOC,120,0.085751528,118769116,3411342134934571520,247343526,0.3568,,Taurus,2,Stauffer_2018,Stauffer,2018,0.3568740609,Complex,2,0,0,0,,,,,,
2,TIC-118769116-44-SPOC-120,TIC,118769116,44,SPOC,120,0.079107344,118769116,3411342134934571520,247343526,0.3568,,Taurus,2,Stauffer_2018,Stauffer,2018,0.3563946624,Complex,2,0,0,1,,,,,,
2,TIC-118769116-70-FFI-200s,TIC,118769116,70,FFI,200s,0.01803551,118769116,3411342134934571520,247343526,0.3568,,Taurus,2,Stauffer_2018,Stauffer,2018,0.3566632609,Complex,2,0,0,0,,,,,,
2,TIC-118769116-71-FFI-200s,TIC,118769116,71,FFI,200s,0.017754974,118769116,3411342134934571520,247343526,0.3568,,Taurus,2,Stauffer_2018,Stauffer,2018,0.3566081668,Complex,2,0,0,0,,,,,,
3,EPIC-203354381-2-EVEREST-1800,EPIC,203354381,2,EVEREST,1800,0.097227604,175594111,6045818685674325760,203354381,0.5993,,Upper Scorpius,10,Stauffer_2018,Stauffer,2018,0.599622682,Complex,9,0,0,0,,,,,,
3,EPIC-203354381-2-K2SFF-1800,EPIC,203354381,2,K2SFF,1800,0.1647637128,175594111,6045818685674325760,203354381,0.5993,,Upper Scorpius,10,Stauffer_2018,Stauffer,2018,0.599145916,Complex,2,1,0,0,,,,,,
3,TIC-175594111-91-SPOC-120,TIC,175594111,91,SPOC,120,0.091217744,175594111,6045818685674325760,203354381,0.5993,,Upper Scorpius,10,Stauffer_2018,Stauffer,2018,0.5997183296,Complex,2,1,0,0,,,,,,
4,EPIC-203636498-2-EVEREST-1800,EPIC,203636498,2,EVEREST,1800,0.04579258,322928171,6048612514663537280,203636498,0.7794,,Upper Scorpius,10,Stauffer_2018,Stauffer,2018,3.586808525,Complex,9,0,0,0,,,,,,
4,EPIC-203636498-2-K2SFF-1800,EPIC,203636498,2,K2SFF,1800,0.073792668,322928171,6048612514663537280,203636498,0.7794,,Upper Scorpius,10,Stauffer_2018,Stauffer,2018,0.7785651545,Complex,2,1,0,0,Long term darkening trend,,,,,
4,TIC-322928171-91-SPOC-120,TIC,322928171,91,SPOC,120,0.059474677,322928171,6048612514663537280,203636498,0.7794,,Upper Scorpius,10,Stauffer_2018,Stauffer,2018,0.7764173466,Complex,2,0,0,0,,,,,,
5,EPIC-203821589-2-EVEREST-1800,EPIC,203821589,2,EVEREST,1800,0.051837429,175743566,6049078741946841856,203821589,0.6677,0.9105,Rho Ophiuchi,1,Stauffer_2018,Stauffer,2018,0.040876753,Complex,9,0,0,0,,9,0,0,0,
5,EPIC-203821589-2-K2SFF-1800,EPIC,203821589,2,K2SFF,1800,0.1193304289,175743566,6049078741946841856,203821589,0.6677,0.9105,Rho Ophiuchi,1,Stauffer_2018,Stauffer,2018,0.9102884567,Complex,0,0,0,0,Data still kind of sucks but better than EVEREST. Long term darkening trend.,0,0,0,0,
5,TIC-175743566-91-SPOC-120,TIC,175743566,91,SPOC,120,0.025267357,175743566,6049078741946841856,203821589,0.6677,0.9105,Rho Ophiuchi,1,Stauffer_2018,Stauffer,2018,0.6678281265,Complex,2,0,0,0,,1,0,0,0,No periodogram peak at this period
6,EPIC-203897692-2-EVEREST-1800,EPIC,203897692,2,EVEREST,1800,0.072636858,98689067,6049136569386567296,203897692,0.6043,0.5011,Rho Ophiuchi,1,Stauffer_2018,Stauffer,2018,0.040876748,Complex,1,0,0,0,Data sucks but is better than K2SFF,0,0,0,0,
6,EPIC-203897692-2-K2SFF-1800,EPIC,203897692,2,K2SFF,1800,0.1547828266,98689067,6049136569386567296,203897692,0.6043,0.5011,Rho Ophiuchi,1,Stauffer_2018,Stauffer,2018,6,Complex,9,0,0,0,,9,0,0,0,
6,TIC-98689067-91-SPOC-120,TIC,98689067,91,SPOC,120,0.1549639344,98689067,6049136569386567296,203897692,0.6043,0.5011,Rho Ophiuchi,1,Stauffer_2018,Stauffer,2018,5.70817413,Not Complex,1,0,0,0,Seems like there is another period of at least 5 days,0,0,0,0,No visible periodic behavior
7,EPIC-204060981-2-K2SFF-1800,EPIC,204060981,2,K2SFF,1800,0.051716173,49072162,6049979104536677632,204060981,0.3996,0.3802,Upper Scorpius,10,Stauffer_2018,Stauffer,2018,0.3995465737,Complex,2,0,0,0,,2,0,0,0,
7,EPIC-204060981-2-EVEREST-1800,EPIC,204060981,2,EVEREST,1800,0.4244542813,49072162,6049979104536677632,204060981,0.3996,0.3802,Upper Scorpius,10,Stauffer_2018,Stauffer,2018,0.040880984,Complex,9,0,0,0,,9,0,0,0,
7,TIC-49072162-91-SPOC-120,TIC,49072162,91,SPOC,120,0.041329551,49072162,6049979104536677632,204060981,0.3996,0.3802,Upper Scorpius,10,Stauffer_2018,Stauffer,2018,0.1901224505,Complex,2,0,0,0,,2,0,0,1,
8,EPIC-204185983-2-K2SFF-1800,EPIC,204185983,2,K2SFF,1800,0.1394942583,203822419,6050952515921144192,204185983,1.0529,,Rho Ophiuchi,1,Stauffer_2018,Stauffer,2018,1.051068103,Complex,2,0,0,0,Data isn't great but complexity is clear. Long term darkening trend.,,,,,
8,EPIC-204185983-2-EVEREST-1800,EPIC,204185983,2,EVEREST,1800,0.090100026,203822419,6050952515921144192,204185983,1.0529,,Rho Ophiuchi,1,Stauffer_2018,Stauffer,2018,1.050866427,Complex,9,0,0,0,,,,,,
8,TIC-203822419-91-SPOC-120,TIC,203822419,91,SPOC,120,0.147876775,203822419,6050952515921144192,204185983,1.0529,,Rho Ophiuchi,1,Stauffer_2018,Stauffer,2018,1.053333279,Complex,2,0,1,1,,,,,,
9,EPIC-204099739-2-EVEREST-1800,EPIC,204099739,2,EVEREST,1800,0.091259663,48908525,6242105876588253056,204099739,0.7428,0.7158,Upper Scorpius,10,Stauffer_2018,Stauffer,2018,0.5285461617,Complex,9,0,0,0,,9,0,0,0,
9,EPIC-204099739-2-K2SFF-1800,EPIC,204099739,2,K2SFF,1800,0.090446979,48908525,6242105876588253056,204099739,0.7428,0.7158,Upper Scorpius,10,Stauffer_2018,Stauffer,2018,0.7153094472,Complex,1,0,0,0,,0,0,0,0,
9,TIC-48908525-91-FFI-200s,TIC,48908525,91,FFI,200s,0.018005101,48908525,6242105876588253056,204099739,0.7428,0.7158,Upper Scorpius,10,Stauffer_2018,Stauffer,2018,0.7156420957,Complex,2,0,0,0,,0,0,0,0,
10,EPIC-205267399-2-K2SFF-1800,EPIC,205267399,2,K2SFF,1800,0.047272795,49815071,6246044017998844160,205267399,0.3344,0.3311,Upper Scorpius,10,Stauffer_2018,Stauffer,2018,0.331222583,Complex,2,1,0,0,,0,1,0,0,
10,EPIC-205267399-2-EVEREST-1800,EPIC,205267399,2,EVEREST,1800,0.3068262042,49815071,6246044017998844160,205267399,0.3344,0.3311,Upper Scorpius,10,Stauffer_2018,Stauffer,2018,6,Complex,9,0,0,0,,9,0,0,0,
10,TIC-49815071-91-SPOC-120,TIC,49815071,91,SPOC,120,0.049877107,49815071,6246044017998844160,205267399,0.3344,0.3311,Upper Scorpius,10,Stauffer_2018,Stauffer,2018,0.331722302,Complex,2,0,0,1,Evolution might just be due towards the binary but hard to tell,1,0,0,0,
11,EPIC-203050730-2-K2SFF-1800,EPIC,203050730,2,K2SFF,1800,0.023901501,204792541,6044751575283331840,203050730,0.4865,0.774,Upper Scorpius,10,Stauffer_2017,Stauffer,2017,0.4863217032,Complex,2,0,0,0,,1,0,0,0,
11,EPIC-203050730-2-EVEREST-1800,EPIC,203050730,2,EVEREST,1800,0.020571916,204792541,6044751575283331840,203050730,0.4865,0.774,Upper Scorpius,10,Stauffer_2017,Stauffer,2017,1.579687812,Complex,9,0,0,0,,9,0,0,0,
11,TIC-204792541-91-SPOC-120,TIC,204792541,91,SPOC,120,0.03155545,204792541,6044751575283331840,203050730,0.4865,0.774,Upper Scorpius,10,Stauffer_2017,Stauffer,2017,0.772336354,Complex,2,0,0,0,,0,0,0,0,
12,EPIC-203185083-2-K2SFF-1800,EPIC,203185083,2,K2SFF,1800,0.1188362162,205060766,6044838303564444544,203185083,0.44,,Upper Scorpius,10,Stauffer_2017,Stauffer,2017,0.4399298745,Complex,2,1,1,1,,,,,,
12,EPIC-203185083-2-EVEREST-1800,EPIC,203185083,2,EVEREST,1800,0.024984455,205060766,6044838303564444544,203185083,0.44,,Upper Scorpius,10,Stauffer_2017,Stauffer,2017,4.705016575,Complex,9,0,0,0,,,,,,
12,TIC-205060766-91-SPOC-120,TIC,205060766,91,SPOC,120,0.1320141792,205060766,6044838303564444544,203185083,0.44,,Upper Scorpius,10,Stauffer_2017,Stauffer,2017,0.2199557961,Complex,2,1,0,0,,,,,,
13,EPIC-203534383-2-EVEREST-1800,EPIC,203534383,2,EVEREST,1800,0.045383409,68502886,6048717277503393792,203534383,0.2784,0.3234,Upper Scorpius,10,Stauffer_2017,Stauffer,2017,3.586808305,Complex,9,0,0,0,,9,0,0,0,
13,EPIC-203534383-2-K2SFF-1800,EPIC,203534383,2,K2SFF,1800,0.038640148,68502886,6048717277503393792,203534383,0.2784,0.3234,Upper Scorpius,10,Stauffer_2017,Stauffer,2017,0.2783818309,Complex,2,2,0,0,,1,2,0,0,
13,TIC-68502886-91-SPOC-120,TIC,68502886,91,SPOC,120,0.1572326362,68502886,6048717277503393792,203534383,0.2784,0.3234,Upper Scorpius,10,Stauffer_2017,Stauffer,2017,0.09279446,Complex,2,0,0,0,,0,0,0,0,No clear periodic behavior
14,EPIC-203462615-2-K2SFF-1800,EPIC,203462615,2,K2SFF,1800,0.067891493,66750314,6235428336315960576,203462615,0.5201,0.4421,Upper Scorpius,10,Stauffer_2017,Stauffer,2017,0.5202857005,Complex,2,0,0,0,Sudden brightening due to data issues.,1,0,0,0,
14,EPIC-203462615-2-EVEREST-1800,EPIC,203462615,2,EVEREST,1800,0.045609392,66750314,6235428336315960576,203462615,0.5201,0.4421,Upper Scorpius,10,Stauffer_2017,Stauffer,2017,3.908338939,Complex,9,0,0,0,,9,0,0,0,
14,TIC-66750314-91-SPOC-120,TIC,66750314,91,SPOC,120,0.042721164,66750314,6235428336315960576,203462615,0.5201,0.4421,Upper Scorpius,10,Stauffer_2017,Stauffer,2017,0.2600133306,Complex,2,1,0,0,,2,1,0,0,
15,EPIC-204066898-2-EVEREST-1800,EPIC,204066898,2,EVEREST,1800,0.060299362,12659333,6237069013821425408,204066898,0.3956,0.5386,Upper Scorpius,10,Stauffer_2017,Stauffer,2017,0.081690478,Complex,9,0,0,0,,9,0,0,0,
15,EPIC-204066898-2-K2SFF-1800,EPIC,204066898,2,K2SFF,1800,0.045735727,12659333,6237069013821425408,204066898,0.3956,0.5386,Upper Scorpius,10,Stauffer_2017,Stauffer,2017,0.3954677174,Complex,2,1,0,1,Evolution might just be due to the binary but hard to tell,0,1,0,0,What is happening
15,EPIC-204066898-15-EVEREST-1800,EPIC,204066898,15,EVEREST,1800,0.075795269,12659333,6237069013821425408,204066898,0.3956,0.5386,Upper Scorpius,10,Stauffer_2017,Stauffer,2017,0.3955653558,Complex,2,1,0,0,Evolution might just be due to the binary but hard to tell,0,1,0,0,What is happening
15,EPIC-204066898-15-K2SFF-1800,EPIC,204066898,15,K2SFF,1800,0.1322634186,12659333,6237069013821425408,204066898,0.3956,0.5386,Upper Scorpius,10,Stauffer_2017,Stauffer,2017,0.3955189828,Complex,9,0,0,0,Worse than EVEREST this time,9,0,0,0,What is happening
15,TIC-12659333-91-SPOC-120,TIC,12659333,91,SPOC,120,0.0456411,12659333,6237069013821425408,204066898,0.3956,0.5386,Upper Scorpius,10,Stauffer_2017,Stauffer,2017,0.3951416673,Complex,2,0,0,1,,0,0,0,0,
