pop_id,TIC,gaiadr3_source_id,epic_id,per,per2,group,age_Myr,Rebull_2016,Stauffer_2017,Stauffer_2018,Rebull_2018,Zhan_2019,Rebull_2020,Koen_2020,Stauffer_2021,Koen_2021,Guenther_2022,Rebull_2022,Koen_2022,Popinchalk_2023,Bouma_2024,Popinchalk_2024
0,59129133,3392549449695395968,246676629,0.6253,0.6332,Taurus,2,,,First CR determination,,,,,,,,,,,,
1,59091144,3392553852037339776,246682490,0.4377,3.6324,Taurus,2,,,First CR determination,,,,,,,,,,,,
2,118769116,3411342134934571520,247343526,0.3568,,Taurus,2,,,First CR determination,,,,,,,,,,,,
3,175594111,6045818685674325760,203354381,0.5993,,Upper Scorpius,10,,,First CR determination,Included in table,,,,,,,,,,,
4,322928171,6048612514663537280,203636498,0.7794,,Upper Scorpius,10,,,First CR determination,Included in table,,,,,,,,,,,
5,175743566,6049078741946841856,203821589,0.6677,0.9105,Rho Ophiuchi,1,,,First CR determination,Included in table,,,,,,,,,,,
6,98689067,6049136569386567296,203897692,0.6043,0.5011,Rho Ophiuchi,1,,,First CR determination,Included in table,,,,,,,,,,,
7,49072162,6049979104536677632,204060981,0.3996,0.3802,Upper Scorpius,10,,,First CR determination,Included in table,,,,,,,,,,,
8,203822419,6050952515921144192,204185983,1.0529,,Rho Ophiuchi,1,,,First CR determination,Included in table,,,,,,,,,,,
9,48908525,6242105876588253056,204099739,0.7428,0.7158,Upper Scorpius,10,,,First CR determination,Included in table,,,,,,,,,,,
10,49815071,6246044017998844160,205267399,0.3344,0.3311,Upper Scorpius,10,,,First CR determination,Included in table,,,,,,,,,,,
11,204792541,6044751575283331840,203050730,0.4865,0.774,Upper Scorpius,10,,First CR determination,,Included in table,,,,,,,,,,,
12,205060766,6044838303564444544,203185083,0.44,,Upper Scorpius,10,,First CR determination,,Included in table,,,,,,,,,,,
13,68502886,6048717277503393792,203534383,0.2784,0.3234,Upper Scorpius,10,,First CR determination,,Included in table,,,,,,,,,,,
14,66750314,6235428336315960576,203462615,0.5201,0.4421,Upper Scorpius,10,,First CR determination,,Included in table,,,,,,,,,,,
15,12659333,6237069013821425408,204066898,0.3956,0.5386,Upper Scorpius,10,,First CR determination,,Included in table,,,,,,,,,,,
16,49072492,6242145626506129664,204117263,0.6423,,Upper Scorpius,10,,First CR determination,,Included in table,,,,,,,,,,,
17,49198167,6242649340270424704,204367193,0.4835,,Upper Scorpius,10,,First CR determination,,Included in table,,,,,,,,,,,
18,49518818,6245595108015533824,205110559,0.4031,,Upper Scorpius,10,,First CR determination,,Included in table,,,,,,,,,,,
19,220765024,6246944689821248128,204918279,0.4665,0.4594,Upper Scorpius,10,,First CR determination,,Included in table,,,,,,,,,,,
20,9669706,6247083125210430080,204897050,0.2639,,Upper Scorpius,10,,First CR determination,,Included in table,,,,,,,,Included in table,,,
21,280945693,5234117008292638464,,0.6363,,Lower Centaurus-Crux,16,,,,,,,,First CR determination,"Included in table, Mentioned in text or figure",,Included in table,,,Included in table,
22,296790810,5236296171620605824,,0.3713,,UCL/LCC,16,,,,,,,,First CR determination,,,Included in table,,,,
23,290889135,5237270068366411392,,0.4835,0.3072,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
24,301432612,5341919587915807616,,0.5044,,UCL/LCC,16,,,,,,,,First CR determination,,,Included in table,,,,
25,93763678,5345273648130813696,,0.9156,,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
26,448002486,5856059166484152320,,0.3593,,UCL/LCC,16,,,,,,,,First CR determination,,,Included in table,,,,
27,328468855,5856567140866125440,,1.862,,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
28,435899024,5861945711251717888,,0.3634,,UCL/LCC,16,,,,,,,,First CR determination,,,Included in table,Included in table,,,
29,973449111,5868286560427916160,,0.621,,UCL/LCC,16,,,,,,,,First CR determination,,,Included in table,,,,
30,309321971,5901773217829654912,,0.6314,,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
31,254612758,5988925319818253696,,0.5939,,UCL/LCC,16,,,,,,,,First CR determination,,,Included in table,,,,
32,364291454,5996407565146180992,,0.3495,0.406,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
33,147828926,5999293989334501888,,0.4973,,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
34,176205621,6001888939853401728,,0.4258,,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
35,276502773,6004379539837518080,,0.5553,,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
36,99207324,6011565879115186816,,0.7912,,UCL/LCC,16,,,,,,,,First CR determination,,,Included in table,,,,
