Date,Name,Link,Notes,First Camp or Sec,Last Camp or Sec
10/11/2016,Rebull_2016,https://iopscience.iop.org/article/10.3847/0004-6256/152/5/114#ajaa2e05f6,Pleiades,Campaign 4,Campaign 4
3/10/2017,Stauffer_2017,https://iopscience.iop.org/article/10.3847/1538-3881/aa5eb9,,Campaign 1,Campaign 3
1/16/2018,Stauffer_2018,https://iopscience.iop.org/article/10.3847/1538-3881/aaa19d,,Campaign 2,Campaign 13
4/17/2018,Rebull_2018,https://iopscience.iop.org/article/10.3847/1538-3881/aab605,rho oph,Campaign 2,Campaign 2
5/10/2019,Zhan_2019,https://iopscience.iop.org/article/10.3847/1538-4357/ab158c,,Sector 1,Sector 2
5/26/2020,Rebull_2020,https://iopscience.iop.org/article/10.3847/1538-3881/ab893c,Taurus - got batwings from direct communication with Luisa,Campaign 4,Campaign 13
10/29/2020,Koen_2020,https://ui.adsabs.harvard.edu/abs/2021MNRAS.500.1366K/abstract,on T Tauri stars,Sector 1,Sector 2
1/11/2021,Stauffer_2021,https://iopscience.iop.org/article/10.3847/1538-3881/abc7c6,,Sector 9,Sector 12
6/2/2021,Koen_2021,https://iopscience.iop.org/article/10.3847/1538-3881/abf8c0,,,
3/2/2022,Guenther_2022,https://iopscience.iop.org/article/10.3847/1538-3881/ac503c,,Sector 1,Sector 13
8/3/2022,Rebull_2022,https://iopscience.iop.org/article/10.3847/1538-3881/ac75f1,UCL/LLC,Sector 9,Sector 12
11/12/2022,Koen_2022,https://academic.oup.com/mnras/article/518/2/2921/6825504?login=false,,Sector 1,Sector 29
3/13/2023,Popinchalk_2023,https://iopscience.iop.org/article/10.3847/1538-4357/acb055,Tuc-Hor Association,Sector 1,Sector 39
12/28/2023,Bouma_2024,https://iopscience.iop.org/article/10.3847/1538-3881/ad0c4c,,Sector 1,Sector 55
9/5/2024,Popinchalk_2024,https://iopscience.iop.org/article/10.3847/1538-4357/ad5b56,Tuc-Hor and other groups,Sector 1,Sector 64
