pop_id,TIC,gaiadr3_source_id,epic_id,per,per2,group,age_Myr,disco_paper,author,year,tess_sectors,K2_campaign
0,59129133,3392549449695395968,246676629,0.6253,0.6332,Taurus,2.0,Stauffer_2018,Stauffer,2018,TESS Sector 43 SPOC 120s TESS Sector 44 SPOC 120s TESS Sector 43 TESS-SPOC 600s TESS Sector 44 TESS-SPOC 600s TESS Sector 05 QLP 1800s TESS Sector 32 QLP 600s TESS Sector 43 QLP 600s TESS Sector 44 QLP 600s TESS Sector 71 QLP 200s TESS Sector 05 TASOC 1800s TESS Sector 05 TASOC 1800s TESS Sector 05 TGLC 1800s TESS Sector 05 GSFC-ELEANOR-LITE 1800s TESS Sector 05 T16 1800s ,K2 Campaign 13 K2 1800s K2 Campaign 13 EVEREST 1800s K2 Campaign 13 K2SFF 1800s 
1,59091144,3392553852037339776,246682490,0.4377,3.6324,Taurus,2.0,Stauffer_2018,Stauffer,2018,TESS Sector 43 SPOC 120s TESS Sector 44 SPOC 120s TESS Sector 43 TESS-SPOC 600s TESS Sector 44 TESS-SPOC 600s TESS Sector 71 TESS-SPOC 200s TESS Sector 05 QLP 1800s TESS Sector 32 QLP 600s TESS Sector 43 QLP 600s TESS Sector 44 QLP 600s TESS Sector 71 QLP 200s TESS Sector 05 GSFC-ELEANOR-LITE 1800s TESS Sector 05 T16 1800s ,K2 Campaign 13 K2 1800s K2 Campaign 13 EVEREST 1800s K2 Campaign 13 K2SFF 1800s 
2,118769116,3411342134934571520,247343526,0.3568,,Taurus,2.0,Stauffer_2018,Stauffer,2018,TESS Sector 43 SPOC 120s TESS Sector 44 SPOC 120s TESS Sector 43 TESS-SPOC 600s TESS Sector 44 TESS-SPOC 600s TESS Sector 43 QLP 600s TESS Sector 44 QLP 600s TESS Sector 70 QLP 200s TESS Sector 71 QLP 200s TESS Sector 43 CDIPS 1800s TESS Sector 44 CDIPS 1800s ,K2 Campaign 13 K2 1800s K2 Campaign 13 EVEREST 1800s K2 Campaign 13 K2SFF 1800s 
3,175594111,6045818685674325760,203354381,0.5993,,Upper Scorpius,10.0,Stauffer_2018,Stauffer,2018,TESS Sector 91 SPOC 120s TESS Sector 91 QLP 200s ,K2 Campaign 02 K2 1800s K2 Campaign 02 EVEREST 1800s K2 Campaign 02 K2SFF 1800s K2 Campaign 02 K2VARCAT 1800s 
4,322928171,6048612514663537280,203636498,0.7794,,Upper Scorpius,10.0,Stauffer_2018,Stauffer,2018,TESS Sector 91 SPOC 120s ,K2 Campaign 02 K2 1800s K2 Campaign 02 EVEREST 1800s K2 Campaign 02 K2SFF 1800s K2 Campaign 02 K2VARCAT 1800s 
5,175743566,6049078741946841856,203821589,0.6677,0.9105,Rho Ophiuchi,1.0,Stauffer_2018,Stauffer,2018,TESS Sector 91 SPOC 120s ,K2 Campaign 02 K2 1800s K2 Campaign 02 EVEREST 1800s K2 Campaign 02 K2SFF 1800s K2 Campaign 02 K2VARCAT 1800s 
6,98689067,6049136569386567296,203897692,0.6043,0.5011,Rho Ophiuchi,1.0,Stauffer_2018,Stauffer,2018,TESS Sector 91 SPOC 120s ,K2 Campaign 02 K2 1800s K2 Campaign 02 EVEREST 1800s K2 Campaign 02 K2SFF 1800s K2 Campaign 02 K2VARCAT 1800s 
7,49072162,6049979104536677632,204060981,0.3996,0.3802,Upper Scorpius,10.0,Stauffer_2018,Stauffer,2018,TESS Sector 91 SPOC 120s TESS Sector 91 QLP 200s ,K2 Campaign 02 K2 1800s K2 Campaign 02 EVEREST 1800s K2 Campaign 02 K2SFF 1800s K2 Campaign 02 K2VARCAT 1800s 
8,203822419,6050952515921144192,204185983,1.0529,,Rho Ophiuchi,1.0,Stauffer_2018,Stauffer,2018,TESS Sector 91 SPOC 120s TESS Sector 91 QLP 200s ,K2 Campaign 02 K2 1800s K2 Campaign 02 EVEREST 1800s K2 Campaign 02 K2SFF 1800s K2 Campaign 02 K2VARCAT 1800s 
9,48908525,6242105876588253056,204099739,0.7428,0.7158,Upper Scorpius,10.0,Stauffer_2018,Stauffer,2018,TESS Sector 91 QLP 200s ,K2 Campaign 02 K2 1800s K2 Campaign 02 EVEREST 1800s K2 Campaign 02 K2SFF 1800s K2 Campaign 02 K2VARCAT 1800s 
