pop_id,TIC,gaiadr3_source_id,epic_id,per,per2,group,age_Myr,disco_paper,author,year,Sector 1,Sector 2,Sector 3,Sector 4,Sector 5,Sector 6,Sector 7,Sector 8,Sector 9,Sector 10,Sector 11,Sector 12,Sector 13,Sector 14,Sector 15,Sector 16,Sector 17,Sector 18,Sector 19,Sector 20,Sector 21,Sector 22,Sector 23,Sector 24,Sector 25,Sector 26,Sector 27,Sector 28,Sector 29,Sector 30,Sector 31,Sector 32,Sector 33,Sector 34,Sector 35,Sector 36,Sector 37,Sector 38,Sector 39,Sector 40,Sector 41,Sector 42,Sector 43,Sector 44,Sector 45,Sector 46,Sector 47,Sector 48,Sector 49,Sector 50,Sector 51,Sector 52,Sector 53,Sector 54,Sector 55,Sector 56,Sector 57,Sector 58,Sector 59,Sector 60,Sector 61,Sector 62,Sector 63,Sector 64,Sector 65,Sector 66,Sector 67,Sector 68,Sector 69,Sector 70,Sector 71,Sector 72,Sector 73,Sector 74,Sector 75,Sector 76,Sector 77,Sector 78,Sector 79,Sector 80,Sector 81,Sector 82,Sector 83,Sector 84,Sector 85,Sector 86,Sector 87,Sector 88,Sector 89,Sector 90,Sector 91,Sector 92,Sector 93,Sector 94,Sector 95,Sector 96,Sector 97,Sector 98,Sector 99,Campaign 1,Campaign 2,Campaign 3,Campaign 4,Campaign 5,Campaign 6,Campaign 7,Campaign 8,Campaign 9,Campaign 10,Campaign 11,Campaign 12,Campaign 13,Campaign 14,Campaign 15
0,59129133,3392549449695395968,246676629,0.6253,0.6332,Taurus,2,Stauffer_2018,Stauffer,2018,,,,,TIC-59129133-5-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-59129133-32-FFI-10min,,,,,,,,,,,TIC-59129133-43-SPOC-120,TIC-59129133-44-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-59129133-71-FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPIC-246676629-13-EVEREST-1800,,
1,59091144,3392553852037339776,246682490,0.4377,3.6324,Taurus,2,Stauffer_2018,Stauffer,2018,,,,,TIC-59091144-5-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-59091144-32-FFI-10min,,,,,,,,,,,TIC-59091144-43-SPOC-120,TIC-59091144-44-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-59091144-71-FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPIC-246682490-13-EVEREST-1800,,
2,118769116,3411342134934571520,247343526,0.3568,,Taurus,2,Stauffer_2018,Stauffer,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-118769116-43-SPOC-120,TIC-118769116-44-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-118769116-70-FFI-200s,TIC-118769116-71-FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPIC-247343526-13-EVEREST-1800,,
3,175594111,6045818685674325760,203354381,0.5993,,Upper Scorpius,10,Stauffer_2018,Stauffer,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-175594111-91-SPOC-120,,,,,,,,,,EPIC-203354381-2-EVEREST-1800,,,,,,,,,,,,,
4,322928171,6048612514663537280,203636498,0.7794,,Upper Scorpius,10,Stauffer_2018,Stauffer,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-322928171-91-SPOC-120,,,,,,,,,,EPIC-203636498-2-EVEREST-1800,,,,,,,,,,,,,
5,175743566,6049078741946841856,203821589,0.6677,0.9105,Rho Ophiuchi,1,Stauffer_2018,Stauffer,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-175743566-91-SPOC-120,,,,,,,,,,EPIC-203821589-2-EVEREST-1800,,,,,,,,,,,,,
6,98689067,6049136569386567296,203897692,0.6043,0.5011,Rho Ophiuchi,1,Stauffer_2018,Stauffer,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-98689067-91-SPOC-120,,,,,,,,,,EPIC-203897692-2-EVEREST-1800,,,,,,,,,,,,,
7,49072162,6049979104536677632,204060981,0.3996,0.3802,Upper Scorpius,10,Stauffer_2018,Stauffer,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-49072162-91-SPOC-120,,,,,,,,,,EPIC-204060981-2-EVEREST-1800,,,,,,,,,,,,,
8,203822419,6050952515921144192,204185983,1.0529,,Rho Ophiuchi,1,Stauffer_2018,Stauffer,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-203822419-91-SPOC-120,,,,,,,,,,EPIC-204185983-2-EVEREST-1800,,,,,,,,,,,,,
9,48908525,6242105876588253056,204099739,0.7428,0.7158,Upper Scorpius,10,Stauffer_2018,Stauffer,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-48908525-91-FFI-200s,,,,,,,,,,EPIC-204099739-2-EVEREST-1800,,,,,,,,,,,,,
