intentType obs_collection provenance_name instrument_name project filters wavelength_region target_name target_classification obs_id s_ra s_dec dataproduct_type proposal_pi calib_level t_min t_max t_exptime em_min em_max obs_title t_obs_release proposal_id proposal_type sequence_number s_region jpegURL dataURL dataRights mtFlag srcDen obsid objID exptime distance obsID obs_collection_products dataproduct_type_products description type dataURI productType productGroupDescription productSubGroupDescription productDocumentationURL project_products prvversion proposal_id_products productFilename size parent_obsid dataRights_products calib_level_products filters_products author mission # year sort_order
science K2 K2 Kepler K2 KEPLER Optical ktwo246676629 "" ktwo246676629-c13_lc 74.86839 14.273303 timeseries "" 2 57820.06603603 57900.65616869 1800.0 420.0 910.0 "" 57993.0 GO13009 "" 13 "CIRCLE ICRS 74.86839000 14.27330300 0.00111111" mast:K2/url/missions/k2/previews/c13/246600000/76000/ktwo246676629-c13_llc_bw_large.png mast:K2/url/missions/k2/lightcurves/c13/246600000/76000/ktwo246676629-c13_llc.fits PUBLIC False nan 720867 63884688 1800 0.0 720867 K2 timeseries "Lightcurve Long Cadence (KLC) - C13" S mast:K2/url/missions/k2/lightcurves/c13/246600000/76000/ktwo246676629-c13_llc.fits SCIENCE "Minimum Recommended Products" LLC "" K2 24 GO13009 ktwo246676629-c13_llc.fits 423360 720867 PUBLIC 2 KEPLER K2 "K2 Campaign 13" "" 2017 1
science HLSP EVEREST Kepler K2 KEPLER OPTICAL ktwo246676629 "" hlsp_everest_k2_llc_246676629-c13_kepler_v2.0_lc 74.86839 14.273303 timeseries "Rodrigo Luger" 4 57820.06603603009 57900.65616869213 1800.0 418.4 905.0 "" 58723.61931702 N/A "" 13 "CIRCLE 74.86839 14.273303 0.0011111111111111111" mast:HLSP/everest/v2/c13/246600000/76629/hlsp_everest_k2_llc_246676629-c13_kepler_v2.0_dvs-prev.png mast:HLSP/everest/v2/c13/246600000/76629/hlsp_everest_k2_llc_246676629-c13_kepler_v2.0_lc.fits PUBLIC False nan 30682174 596250409 1800 0.0 30682174 HLSP timeseries FITS S mast:HLSP/everest/v2/c13/246600000/76629/hlsp_everest_k2_llc_246676629-c13_kepler_v2.0_lc.fits SCIENCE "Minimum Recommended Products" "" "" EVEREST "" N/A hlsp_everest_k2_llc_246676629-c13_kepler_v2.0_lc.fits 14353920 30682174 PUBLIC 4 KEPLER EVEREST "K2 Campaign 13" "" 2017 9
science HLSP K2SFF Kepler K2 KEPLER OPTICAL ktwo246676629 "" hlsp_k2sff_k2_lightcurve_246676629-c13_kepler_v1_llc 74.86839 14.273303 timeseries "Andrew Vanderburg" 4 57820.06603603009 57900.65616869213 1800.0 418.4 905.0 "" 58689.620405 N/A "" 13 "CIRCLE 74.86839 14.273303 0.0011111111111111111" mast:HLSP/k2sff/c13/246600000/76629/hlsp_k2sff_k2_lightcurve_246676629-c13_kepler_v1_llc.png mast:HLSP/k2sff/c13/246600000/76629/hlsp_k2sff_k2_lightcurve_246676629-c13_kepler_v1_llc.fits PUBLIC False nan 30329311 602688895 1800 0.0 30329311 HLSP timeseries FITS S mast:HLSP/k2sff/c13/246600000/76629/hlsp_k2sff_k2_lightcurve_246676629-c13_kepler_v1_llc.fits SCIENCE "Minimum Recommended Products" "" "" K2SFF 19 N/A hlsp_k2sff_k2_lightcurve_246676629-c13_kepler_v1_llc.fits 3360960 30329311 PUBLIC 4 KEPLER K2SFF "K2 Campaign 13" "" 2017 9
science K2 K2 Kepler K2 KEPLER Optical ktwo246682490 "" ktwo246682490-c13_lc 74.769615 14.348877 timeseries "" 2 57820.06603603 57900.65616869 1800.0 420.0 910.0 "" 57993.0 GO13009 "" 13 "CIRCLE ICRS 74.76961500 14.34887700 0.00111111" mast:K2/url/missions/k2/previews/c13/246600000/82000/ktwo246682490-c13_llc_bw_large.png mast:K2/url/missions/k2/lightcurves/c13/246600000/82000/ktwo246682490-c13_llc.fits PUBLIC False nan 720904 63884725 1800 0.0 720904 K2 timeseries "Lightcurve Long Cadence (KLC) - C13" S mast:K2/url/missions/k2/lightcurves/c13/246600000/82000/ktwo246682490-c13_llc.fits SCIENCE "Minimum Recommended Products" LLC "" K2 24 GO13009 ktwo246682490-c13_llc.fits 423360 720904 PUBLIC 2 KEPLER K2 "K2 Campaign 13" "" 2017 1
science HLSP EVEREST Kepler K2 KEPLER OPTICAL ktwo246682490 "" hlsp_everest_k2_llc_246682490-c13_kepler_v2.0_lc 74.769615 14.348877 timeseries "Rodrigo Luger" 4 57820.06603603009 57900.65616869213 1800.0 418.4 905.0 "" 58723.61931702 N/A "" 13 "CIRCLE 74.769615 14.348877 0.0011111111111111111" mast:HLSP/everest/v2/c13/246600000/82490/hlsp_everest_k2_llc_246682490-c13_kepler_v2.0_dvs-prev.png mast:HLSP/everest/v2/c13/246600000/82490/hlsp_everest_k2_llc_246682490-c13_kepler_v2.0_lc.fits PUBLIC False nan 30920057 596250585 1800 0.0 30920057 HLSP timeseries FITS S mast:HLSP/everest/v2/c13/246600000/82490/hlsp_everest_k2_llc_246682490-c13_kepler_v2.0_lc.fits SCIENCE "Minimum Recommended Products" "" "" EVEREST "" N/A hlsp_everest_k2_llc_246682490-c13_kepler_v2.0_lc.fits 14408640 30920057 PUBLIC 4 KEPLER EVEREST "K2 Campaign 13" "" 2017 9
science HLSP K2SFF Kepler K2 KEPLER OPTICAL ktwo246682490 "" hlsp_k2sff_k2_lightcurve_246682490-c13_kepler_v1_llc 74.769615 14.348877 timeseries "Andrew Vanderburg" 4 57820.06603603009 57900.65616869213 1800.0 418.4 905.0 "" 58689.620405 N/A "" 13 "CIRCLE 74.769615 14.348877 0.0011111111111111111" mast:HLSP/k2sff/c13/246600000/82490/hlsp_k2sff_k2_lightcurve_246682490-c13_kepler_v1_llc.png mast:HLSP/k2sff/c13/246600000/82490/hlsp_k2sff_k2_lightcurve_246682490-c13_kepler_v1_llc.fits PUBLIC False nan 30330591 602688973 1800 0.0 30330591 HLSP timeseries FITS S mast:HLSP/k2sff/c13/246600000/82490/hlsp_k2sff_k2_lightcurve_246682490-c13_kepler_v1_llc.fits SCIENCE "Minimum Recommended Products" "" "" K2SFF 19 N/A hlsp_k2sff_k2_lightcurve_246682490-c13_kepler_v1_llc.fits 3360960 30330591 PUBLIC 4 KEPLER K2SFF "K2 Campaign 13" "" 2017 9
science K2 K2 Kepler K2 KEPLER Optical ktwo247343526 "" ktwo247343526-c13_lc 70.22253 20.929756 timeseries "" 2 57820.06603603 57900.65616869 1800.0 420.0 910.0 "" 57993.0 GO13117_GO13118 "" 13 "CIRCLE ICRS 70.22253000 20.92975600 0.00111111" mast:K2/url/missions/k2/previews/c13/247300000/43000/ktwo247343526-c13_llc_bw_large.png mast:K2/url/missions/k2/lightcurves/c13/247300000/43000/ktwo247343526-c13_llc.fits PUBLIC False nan 730677 63894498 1800 0.0 730677 K2 timeseries "Lightcurve Long Cadence (KLC) - C13" S mast:K2/url/missions/k2/lightcurves/c13/247300000/43000/ktwo247343526-c13_llc.fits SCIENCE "Minimum Recommended Products" LLC "" K2 24 GO13117_GO13118 ktwo247343526-c13_llc.fits 423360 730677 PUBLIC 2 KEPLER K2 "K2 Campaign 13" "" 2017 1
science HLSP EVEREST Kepler K2 KEPLER OPTICAL ktwo247343526 "" hlsp_everest_k2_llc_247343526-c13_kepler_v2.0_lc 70.22253 20.929756 timeseries "Rodrigo Luger" 4 57820.06603603009 57900.65616869213 1800.0 418.4 905.0 "" 58723.61931702 N/A "" 13 "CIRCLE 70.22253 20.929756 0.0011111111111111111" mast:HLSP/everest/v2/c13/247300000/43526/hlsp_everest_k2_llc_247343526-c13_kepler_v2.0_dvs-prev.png mast:HLSP/everest/v2/c13/247300000/43526/hlsp_everest_k2_llc_247343526-c13_kepler_v2.0_lc.fits PUBLIC False nan 30896795 596302732 1800 0.0 30896795 HLSP timeseries FITS S mast:HLSP/everest/v2/c13/247300000/43526/hlsp_everest_k2_llc_247343526-c13_kepler_v2.0_lc.fits SCIENCE "Minimum Recommended Products" "" "" EVEREST "" N/A hlsp_everest_k2_llc_247343526-c13_kepler_v2.0_lc.fits 12824640 30896795 PUBLIC 4 KEPLER EVEREST "K2 Campaign 13" "" 2017 9
science HLSP K2SFF Kepler K2 KEPLER OPTICAL ktwo247343526 "" hlsp_k2sff_k2_lightcurve_247343526-c13_kepler_v1_llc 70.22253 20.929756 timeseries "Andrew Vanderburg" 4 57820.06603603009 57900.65616869213 1800.0 418.4 905.0 "" 58689.620405 N/A "" 13 "CIRCLE 70.22253 20.929756 0.0011111111111111111" mast:HLSP/k2sff/c13/247300000/43526/hlsp_k2sff_k2_lightcurve_247343526-c13_kepler_v1_llc.png mast:HLSP/k2sff/c13/247300000/43526/hlsp_k2sff_k2_lightcurve_247343526-c13_kepler_v1_llc.fits PUBLIC False nan 30337692 602754313 1800 0.0 30337692 HLSP timeseries FITS S mast:HLSP/k2sff/c13/247300000/43526/hlsp_k2sff_k2_lightcurve_247343526-c13_kepler_v1_llc.fits SCIENCE "Minimum Recommended Products" "" "" K2SFF 19 N/A hlsp_k2sff_k2_lightcurve_247343526-c13_kepler_v1_llc.fits 3355200 30337692 PUBLIC 4 KEPLER K2SFF "K2 Campaign 13" "" 2017 9
science K2 K2 Kepler K2 KEPLER Optical ktwo203354381 "" ktwo203354381-c02_lc 246.61611 -26.420869 timeseries "" 2 56892.76894493 56971.5609235 1800.0 420.0 910.0 "" 57114.0 GO2069 "" 2 "CIRCLE ICRS 246.61611000 -26.42086900 0.00111111" mast:K2/url/missions/k2/previews/c2/203300000/54000/ktwo203354381-c02_llc_bw_large.png mast:K2/url/missions/k2/lightcurves/c2/203300000/54000/ktwo203354381-c02_llc.fits PUBLIC False nan 856429 64020250 1800 0.0 856429 K2 timeseries "Lightcurve Long Cadence (KLC) - C02" S mast:K2/url/missions/k2/lightcurves/c2/203300000/54000/ktwo203354381-c02_llc.fits SCIENCE "Minimum Recommended Products" LLC "" K2 21 GO2069 ktwo203354381-c02_llc.fits 414720 856429 PUBLIC 2 KEPLER K2 "K2 Campaign 02" "" 2014 1
