ourgaiaids_oid,pop_id,TIC,gaiadr3_source_id,epic_id,per,group,age_Myr,disco_paper,author,year,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot
1,0,59129133,3392549449695395968,246676629,0.6253,Taurus,2.0,Stauffer_2018,Stauffer,2018,1636148068921376768,Gaia DR3 3392549449695395968,3392549449695395968,891561221,2016.0,74.86843172888425,0.111448176,14.2732197353785,0.07336929,6.345331597315533,0.12357116,51.349617,20.650896,9.782700666537238,0.14543356,-18.186761624878333,0.11169099,0.051954422,-0.050209086,-0.19104023,0.3118415,-0.33602947,0.20983139,-0.08011556,0.088595666,-0.050037563,0.06391625,273,0,267,6,100.50494,15574.924,0.8733355,379.50043,31,false,1.2494829,,,,,,,,31,16,0.20350026,31,10,0,0.06119427,94.72101,2,0,7.779637,0.22164442,0.42581588,0.32440025,0.36774307,-78.5204,-10.462833,-32.75391,40.739166,false,252,45288.31968129136,72.015495,628.8691,14.047401,28,7331.629218336458,56.00892,130.90111,15.675541,28,60414.2650011787,354.25635,170.53827,12.795047,1.49588,0,1,0,1,0,2.880494,1.6281395,1.2523546,12.81679,4.1371384,2,17,7,11,15.55499,,,914.8124,,3600.0,4.5,0.5,101,,,,12.196191,0.018860834,12,,VARIABLE,186.4234667438579,-17.00087586786482,75.18399974982742,-8.391185813794044,false,false,0,true,true,false,true,false,true,true,false,1.1961469E-13,5.974694E-13,0.9982583,3517.931,3515.5388,3520.3516,4.1768,4.1641,4.1866,0.1272,0.1227,0.1316,134.592,133.3875,136.0214,1.1772,1.172,1.1819,0.7494,0.7461,0.7525,0.5013,0.4993,0.5033,MARCS
2,1,59091144,3392553852037339776,246682490,0.4377,Taurus,2.0,Stauffer_2018,Stauffer,2018,1636148068921376768,Gaia DR3 3392553852037339776,3392553852037339776,1655738054,2016.0,74.76961528990552,0.11716337,14.348870808621461,0.07761343,6.059355898783959,0.12780744,47.41004,19.424019,9.607780749385528,0.14122269,-16.881441368779875,0.1145908,0.116182975,0.18014519,0.15677552,0.37598145,-0.2817124,0.27475828,0.08426309,0.082509466,0.15118,0.089271635,283,0,280,3,37.73829,12143.618,0.95549905,443.61252,95,false,,1.2855226,0.024524456,-0.05028332,-0.039775405,-0.03900907,-0.04723611,0.08530088,32,16,0.20093806,33,8,0,0.007940768,87.90884,62,0,2.98668,0.19395024,0.40052286,0.28247568,0.3969589,-80.62102,-5.825949,-35.269455,38.465435,false,282,51626.88010989395,71.91073,717.9302,13.905177,31,15846.123950893416,128.53421,123.28332,14.838735,32,109013.05510473171,446.37567,244.21819,12.1542,2.4184916,0,31,0,32,0,2.684535,0.9335575,1.7509775,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,186.30137492919957,-17.036395744645738,75.09581199992905,-8.305874530241503,false,false,0,true,true,false,false,false,false,true,false,1.1192878E-13,5.590786E-13,0.9990192,,,,,,,,,,,,,,,,,,,,,,
3,2,118769116,3411342134934571520,247343526,0.3568,Taurus,2.0,Stauffer_2018,Stauffer,2018,1636148068921376768,Gaia DR3 3411342134934571520,3411342134934571520,1346282717,2016.0,70.22261543166712,0.06200683,20.9295690834417,0.032551028,8.377846902940108,0.069918126,119.82368,38.553387,16.280421689730723,0.08611063,-34.94726721885296,0.057815164,0.030045632,-0.14319514,-0.09265135,0.03299115,-0.03445476,0.03192894,0.015562161,0.16012743,0.21734686,-0.12108294,316,0,315,1,3.149572,556.4559,0.33395675,9.568487,31,false,1.1963074,,,,,,,,36,17,0.12014005,36,9,0,0.011987813,19.412245,0,0,1.1280006,0.02757893,0.5559029,0.11279124,0.2026612,-65.804535,-1.5577677,-13.752821,30.54338,false,296,6881.7047237977995,17.63872,390.14764,16.093126,31,646.1580325260434,14.218822,45.44385,18.312695,34,10323.166416522441,64.936295,158.97375,14.713364,1.5939837,0,3,0,4,0,3.599331,2.2195683,1.3797626,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,178.0851966814223,-16.584328995672156,71.57176654490391,-1.253372791154181,false,false,0,false,false,false,false,false,false,true,false,1.02051776E-13,5.7967346E-11,0.99999714,,,,,,,,,,,,,,,,,,,,,,
4,3,175594111,6045818685674325760,203354381,0.5993,Upper Scorpius,10.0,Stauffer_2018,Stauffer,2018,1636148068921376768,Gaia DR3 6045818685674325760,6045818685674325760,620132730,2016.0,246.61604560736302,0.04654033,-26.420999102130278,0.02787163,7.047532337875181,0.0502165,140.34297,27.135214,-7.137055236437345,0.059505496,-26.179807134972492,0.04544418,-0.24229357,-0.2557686,-0.28414294,0.05113166,0.029426616,0.021993376,-0.03395279,-0.03985618,-0.122696534,-0.27441475,272,0,272,0,26.801878,1528.19,0.33508387,51.226696,31,false,1.2427273,,,,,,,,31,15,0.086973116,33,11,0,0.051629495,113.1254,0,0,2.3595994,0.119625755,0.4638859,0.13669777,0.36838692,-158.73903,14.420945,0.12043162,-40.297638,false,287,44882.0069935226,221.08409,203.00876,14.057186,32,6988.115551041166,134.43062,51.983067,15.727642,32,60088.85395320827,810.8328,74.107574,12.800911,1.494518,0,1,0,2,0,2.926731,1.6704559,1.2562752,5.2077866,6.36419,2,13,4,8,13.523795,,,666.88434,,3300.0,4.5,0.5,101,,,,12.208603,0.054664988,10,,VARIABLE,351.5019649367655,15.564345985207062,249.10756219220102,-4.661904284076836,false,false,0,true,true,false,true,false,false,true,false,1.2558453E-13,6.272884E-13,0.9976672,3520.1333,3516.3186,3523.7488,4.1169,4.1065,4.139,0.1322,0.1256,0.1382,137.7686,134.9761,138.9954,1.2485,1.2396,1.257,0.7924,0.7866,0.7979,0.5323,0.5288,0.5358,MARCS
5,4,322928171,6048612514663537280,203636498,0.7794,Upper Scorpius,10.0,Stauffer_2018,Stauffer,2018,1636148068921376768,Gaia DR3 6048612514663537280,6048612514663537280,589796717,2016.0,245.27122216313722,0.042178884,-25.46188783535301,0.024444086,7.4629067962458,0.04655572,160.30054,27.442083,-6.473544438059936,0.058193557,-26.66760582030674,0.041510545,-0.27326715,-0.19282411,0.03084037,0.2285167,0.09729734,0.19951999,0.2020023,-0.09489371,-0.12102203,-0.025990922,385,9,384,1,3.3984423,674.3291,0.2313942,8.6782055,31,false,1.207009,,,,,,,,44,17,0.08067467,51,10,0,0.018273838,20.366877,0,0,1.1250278,,,,,,,,,false,391,12577.44676899713,10.811477,1163.3422,15.438386,50,1279.2633170887716,8.298345,154.15886,17.571142,47,18429.8557861857,35.460922,519.72296,14.08409,1.5670207,0,1,0,0,0,3.487052,2.1327562,1.3542957,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,351.39750180499203,17.104551251857785,247.75461042496298,-3.912198929226906,false,false,0,true,false,false,true,false,false,true,false,1.0205361E-13,5.123205E-13,0.99999696,3281.2468,3277.4734,3307.5793,4.4299,4.4153,4.4348,0.4471,0.4417,0.4515,127.9637,127.1115,132.1821,1.4646,1.4517,1.528,0.8756,0.8676,0.9148,0.6596,0.6543,0.6875,MARCS
6,5,175743566,6049078741946841856,203821589,0.6677,Rho Ophiuchi,1.0,Stauffer_2018,Stauffer,2018,1636148068921376768,Gaia DR3 6049078741946841856,6049078741946841856,129565713,2016.0,246.99979162613235,0.054677285,-24.80547888953024,0.031193456,7.38199051014557,0.062433496,118.237656,26.07817,-6.310932879789003,0.074168354,-25.303026193116313,0.057095904,-0.29186693,0.30034882,-0.19194417,-0.2312822,-0.19290797,-0.07313913,0.2718737,-0.25137782,-0.24565446,-0.15074922,268,0,268,0,1.1688942,793.4063,0.32344708,20.193596,31,false,1.175588,,,,,,,,32,15,0.1050049,35,9,0,0.023715317,17.867245,0,0,1.0501082,0.20460165,0.53613776,0.07270823,0.24919483,-4.011445,10.875142,1.5941973,43.1312,false,278,19144.294812420685,13.204963,1449.7803,14.982268,34,1262.2310470960967,16.782951,75.20912,17.585695,33,29969.534806600324,45.781025,654.62787,13.556195,1.6313876,0,0,0,0,0,4.0295,2.603427,1.4260731,23.662443,2.6479056,2,16,4,11,8.129866,,,716.5004,,3400.0,4.5,0.5,101,,,,12.856003,0.051460218,14,,VARIABLE,352.99835385747997,16.376762138118902,249.19584551182672,-3.0120937782340693,false,false,0,false,false,false,true,false,false,true,false,1.0202233E-13,5.0959687E-13,1.0,,,,,,,,,,,,,,,,,,,,,,
7,6,98689067,6049136569386567296,203897692,0.6043,Rho Ophiuchi,1.0,Stauffer_2018,Stauffer,2018,1636148068921376768,Gaia DR3 6049136569386567296,6049136569386567296,953579308,2016.0,246.4837074578255,0.0726591,-24.504261539607842,0.03955911,7.410937464131802,0.08702926,85.15455,25.631487,-6.340075386586756,0.11198728,-24.83498595820207,0.09122757,-0.50867176,0.009564021,-0.24870005,0.11686662,-0.16741207,0.009907247,0.3498669,0.18733172,-0.4963307,-0.585165,495,0,494,1,-0.34024402,1169.9044,0.42072186,17.537119,31,false,1.1524682,,,,,,,,57,15,0.18117546,60,11,0,0.012743103,85.54928,0,0,0.98846084,0.48720673,0.7490704,0.474327,0.448446,12.058878,19.061207,15.31953,24.500338,false,509,6708.338328323184,7.079689,947.54706,16.120829,56,262.96485034689096,8.030132,32.74726,19.288797,55,11390.743602457273,46.257515,246.24634,14.606515,1.7371975,0,29,0,31,0,4.6822824,3.1679688,1.5143137,-35.982437,5.8221006,2,19,1,7,4.860656,,,716.4269,,3500.0,1.0,-0.25,111,,,,13.8609495,0.11373842,20,,VARIABLE,352.9106930255041,16.927827138451175,248.68461848515048,-2.7883924060700602,false,false,0,false,false,false,true,false,false,true,false,1.02024136E-13,5.0960543E-13,0.9999998,3619.824,3615.8318,3623.4006,3.9708,3.9672,4.0062,0.4333,0.4121,0.4472,121.5333,117.1704,122.7847,6.1937,6.1646,6.2664,3.5686,3.5509,3.6144,2.4653,2.4573,2.4851,MARCS
8,7,49072162,6049979104536677632,204060981,0.3996,Upper Scorpius,10.0,Stauffer_2018,Stauffer,2018,1636148068921376768,Gaia DR3 6049979104536677632,6049979104536677632,1243498622,2016.0,242.734073619829,0.02560718,-23.82481988484815,0.015046486,7.173886976291808,0.029427918,243.77827,27.536306,-9.71690826586493,0.039250977,-25.76489609611094,0.02632536,-0.28240523,0.016435513,0.006434976,0.056888018,0.03830709,0.18658392,0.31859615,-0.18988644,0.014862338,0.26230446,347,0,345,2,12.372755,818.2203,0.16065443,16.123396,31,false,1.2399379,,,,,,,,40,17,0.05587388,44,11,0,0.019155491,62.89831,0,0,1.5090948,0.4201613,0.58647674,0.39142662,0.26370904,18.438112,13.293143,21.576569,37.320793,false,364,62626.72757618034,62.64288,999.7422,13.695468,43,9292.380330832371,50.36052,184.51717,15.418224,42,84307.94018157566,220.56076,382.2436,12.433225,1.4945747,0,1,0,0,0,2.9849997,1.7227564,1.2622433,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,350.99921200673816,19.907153793680237,245.19390079414512,-2.7030506231538616,false,false,0,true,true,false,true,false,false,true,false,1.0885115E-13,5.43706E-13,0.99932396,,,,,,,,,,,,,,,,,,,,,,
9,8,203822419,6050952515921144192,204185983,1.0529,Rho Ophiuchi,1.0,Stauffer_2018,Stauffer,2018,1636148068921376768,Gaia DR3 6050952515921144192,6050952515921144192,90265126,2016.0,246.4701052703044,1.7893513,-23.326863062346664,1.0901842,,,,,,,,,-0.2821304,,,,,,,,,,428,419,386,42,981.2168,5738984.0,17.066711,277886.8,3,false,,,,,,,,,49,17,3.1401937,52,12,1,0.25313374,94.48133,63,0,,,,,,,,,,false,434,147667.7056042409,1368.376,107.91457,12.7641535,50,33260.43761935013,229.1204,145.16576,14.033722,51,231607.54981407392,1116.6748,207.40823,11.336014,1.7936758,0,1,0,0,0,2.6977081,1.2695684,1.4281397,-11.219485,5.693548,1,25,5,15,54.74116,31.305168,0.0,918.3246,114.60618,4000.0,3.0,0.0,333,,,,10.786477,0.017123474,20,,NOT_AVAILABLE,353.8277778511085,17.715195372307058,248.48512470560232,-1.6279250614738112,false,false,0,true,true,false,false,false,false,false,false,1.02354316E-13,5.112546E-13,0.9999671,,,,,,,,,,,,,,,,,,,,,,
10,9,48908525,6242105876588253056,204099739,0.7428,Upper Scorpius,10.0,Stauffer_2018,Stauffer,2018,1636148068921376768,Gaia DR3 6242105876588253056,6242105876588253056,1113825348,2016.0,242.16282292033966,0.040036034,-23.66834039136272,0.028931234,7.079736385787456,0.04461005,158.70273,26.691671,-9.038936193078518,0.056768306,-25.114596904309366,0.0452391,-0.23561797,-0.10596855,0.06559644,-0.2189331,-0.28070897,-0.25663418,0.4887432,0.07409925,-0.20773295,-0.31403086,291,9,291,0,33.523056,2080.666,0.3194402,72.81628,31,false,1.2704525,,,,,,,,34,15,0.08449424,35,11,0,0.01411116,99.43709,0,2,2.6888916,,,,,,,,,false,299,108704.89193817573,216.4035,502.325,13.096745,32,20706.59649533191,167.78233,123.41345,14.54827,32,136210.6906046095,641.6091,212.29546,11.912368,1.4435164,0,0,0,0,0,2.6359024,1.4515257,1.1843767,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,350.7340580802552,20.39288206871703,244.65054778212286,-2.6455590520343755,false,false,0,true,true,false,true,false,false,true,false,1.7308995E-13,8.6457566E-13,0.99296397,,,,,,,,,,,,,,,,,,,,,,
