TIC,gaiadr3_source_id,epic_id,per,per2,group,age_Myr,discovery_paper_author,discovery_paper_year,g_absmag,phot_g_mean_mag,phot_g_mean_flux_over_error,bp_absmag,phot_bp_mean_mag,phot_bp_mean_flux_over_error,rp_absmag,phot_rp_mean_mag,phot_rp_mean_flux_over_error,ra,ra_error,dec,dec_error,parallax,parallax_error,ruwe
59129133,3392549449695395968,246676629,0.6253,0.6332,Taurus,2.0,Stauffer,2018,8.059672612942736,14.047401,628.8691,9.687812612942736,15.675541,130.90111,6.807318612942735,12.795047,170.53827,74.86843172888425,0.111448176,14.2732197353785,0.07336929,6.345331597315533,0.12357116,7.779637
59091144,3392553852037339776,246682490,0.4377,3.6324,Taurus,2.0,Stauffer,2018,7.817309308561775,13.905177,717.9302,8.750867308561775,14.838735,123.28332,6.066332308561774,12.1542,244.21819,74.76961528990552,0.11716337,14.34887080862146,0.07761343,6.059355898783959,0.12780744,2.98668
118769116,3411342134934571520,247343526,0.3568,,Taurus,2.0,Stauffer,2018,10.708788098927736,16.093126,390.14764,12.928357098927735,18.312695,45.44385,9.329026098927736,14.713364,158.97375,70.22261543166712,0.06200683,20.9295690834417,0.032551028,8.377846902940108,0.069918126,1.1280006
175594111,6045818685674325760,203354381,0.5993,,Upper Scorpius,10.0,Stauffer,2018,8.297371386626343,14.057186,203.00876,9.967827386626343,15.727642,51.983067,7.041096386626343,12.800911,74.107574,246.61604560736305,0.04654033,-26.42099910213028,0.02787163,7.047532337875181,0.0502165,2.3595994
322928171,6048612514663537280,203636498,0.7794,,Upper Scorpius,10.0,Stauffer,2018,9.802926088894615,15.438386,1163.3422,11.935682088894616,17.571142,154.15886,8.448630088894618,14.08409,519.72296,245.2712221631372,0.042178884,-25.46188783535301,0.024444086,7.4629067962458,0.04655572,1.1250278
175743566,6049078741946841856,203821589,0.6677,0.9105,Rho Ophiuchi,1.0,Stauffer,2018,9.3231354127823,14.982268,1449.7803,11.926562412782303,17.585695,75.20912,7.897062412782303,13.556195,654.62787,246.99979162613235,0.054677285,-24.80547888953024,0.031193456,7.38199051014557,0.062433496,1.0501082
98689067,6049136569386567296,203897692,0.6043,0.5011,Rho Ophiuchi,1.0,Stauffer,2018,10.470194742830213,16.120829,947.54706,13.638162742830213,19.288797,32.74726,8.955880742830212,14.606515,246.24634,246.4837074578255,0.0726591,-24.50426153960784,0.03955911,7.410937464131802,0.08702926,0.98846084
49072162,6049979104536677632,204060981,0.3996,0.3802,Upper Scorpius,10.0,Stauffer,2018,7.974240650688129,13.695468,999.7422,9.69699665068813,15.418224,184.51717,6.711997650688129,12.433225,382.2436,242.734073619829,0.02560718,-23.82481988484815,0.015046486,7.173886976291808,0.029427918,1.5090948
203822419,6050952515921144192,204185983,1.0529,,Rho Ophiuchi,1.0,Stauffer,2018,,12.7641535,107.91457,,14.033722,145.16576,,11.336014,207.40823,246.4701052703044,1.7893513,-23.326863062346664,1.0901842,,,
48908525,6242105876588253056,204099739,0.7428,0.7158,Upper Scorpius,10.0,Stauffer,2018,7.346830435108957,13.096745,502.325,8.798355435108958,14.54827,123.41345,6.162453435108958,11.912368,212.29546,242.1628229203397,0.040036034,-23.66834039136272,0.028931234,7.079736385787456,0.04461005,2.6888916
49815071,6246044017998844160,205267399,0.3344,0.3311,Upper Scorpius,10.0,Stauffer,2018,8.901932219399644,14.171144,740.32587,10.700244219399645,15.969456,180.39526,7.619646219399645,12.888858,297.62115,244.67446384790136,0.03284084,-18.54452635779301,0.019632217,8.834005064056253,0.033174075,1.5612949
204792541,6044751575283331840,203050730,0.4865,0.774,Upper Scorpius,10.0,Stauffer,2017,8.843582722940694,14.679148,755.3597,10.638412722940693,16.473978,130.84836,7.560025722940693,13.395591,287.60483,247.77409823576664,0.039014626,-27.4295835253529,0.026298614,6.8059216407903484,0.042850062,1.7696596
205060766,6044838303564444544,203185083,0.44,,Upper Scorpius,10.0,Stauffer,2017,8.892774984723673,14.942842,281.45102,10.79870298472367,16.84877,61.605587,7.581532984723672,13.6316,106.53299,248.64637401645888,0.038694683,-26.967609476753427,0.023576865,6.1657597300040345,0.04311837,1.2446789
68502886,6048717277503393792,203534383,0.2784,0.3234,Upper Scorpius,10.0,Stauffer,2017,10.58300106552597,16.52324,1066.0192,12.969625065525967,18.909864,33.652393,9.170772565525969,15.1110115,373.1089,243.51240762212063,0.062517725,-25.814878535154072,0.03733626,6.485630660280696,0.07316287,1.06201
66750314,6235428336315960576,203462615,0.5201,0.4421,Upper Scorpius,10.0,Stauffer,2017,8.874271845255329,14.526533,905.2344,10.863313845255329,16.515575,109.11035,7.554353845255328,13.206615,291.53433,239.9085645277876,0.039415695,-26.05661856069296,0.028383622,7.405387165317243,0.04355143,1.3973713
