intentType obs_collection provenance_name instrument_name project filters wavelength_region target_name target_classification obs_id s_ra s_dec dataproduct_type proposal_pi calib_level t_min t_max t_exptime em_min em_max obs_title t_obs_release proposal_id proposal_type sequence_number s_region jpegURL dataURL dataRights mtFlag srcDen obsid objID objID1 distance exptime obsID obs_collection_products dataproduct_type_products description type dataURI productType productGroupDescription productSubGroupDescription productDocumentationURL project_products prvversion proposal_id_products productFilename size parent_obsid dataRights_products calib_level_products filters_products author mission # year sort_order
science K2 K2 Kepler K2 KEPLER Optical ktwo246676629 "" ktwo246676629-c13_lc 74.86839 14.273303 timeseries "" 2 57820.06603603 57900.65616869 1800.0 420.0 910.0 "" 57993.0 GO13009 "" 13 "CIRCLE ICRS 74.86839000 14.27330300 0.00111111" mast:K2/url/missions/k2/previews/c13/246600000/76000/ktwo246676629-c13_llc_bw_large.png mast:K2/url/missions/k2/lightcurves/c13/246600000/76000/ktwo246676629-c13_llc.fits PUBLIC False nan 720867 63884688 63884688 0.0 1800 720867 K2 timeseries "Lightcurve Long Cadence (KLC) - C13" S mast:K2/url/missions/k2/lightcurves/c13/246600000/76000/ktwo246676629-c13_llc.fits SCIENCE "Minimum Recommended Products" LLC "" K2 24 GO13009 ktwo246676629-c13_llc.fits 423360 720867 PUBLIC 2 KEPLER K2 "K2 Campaign 13" "" 2017 1
science HLSP EVEREST Kepler K2 KEPLER OPTICAL ktwo246676629 "" hlsp_everest_k2_llc_246676629-c13_kepler_v2.0_lc 74.86839 14.273303 timeseries "Rodrigo Luger" 4 57820.06603603009 57900.65616869213 1800.0 418.4 905.0 "" 58723.61931702 N/A "" 13 "CIRCLE 74.86839 14.273303 0.0011111111111111111" mast:HLSP/everest/v2/c13/246600000/76629/hlsp_everest_k2_llc_246676629-c13_kepler_v2.0_dvs-prev.png mast:HLSP/everest/v2/c13/246600000/76629/hlsp_everest_k2_llc_246676629-c13_kepler_v2.0_lc.fits PUBLIC False nan 30682174 596250409 596250409 0.0 1800 30682174 HLSP timeseries FITS S mast:HLSP/everest/v2/c13/246600000/76629/hlsp_everest_k2_llc_246676629-c13_kepler_v2.0_lc.fits SCIENCE "Minimum Recommended Products" "" "" EVEREST "" N/A hlsp_everest_k2_llc_246676629-c13_kepler_v2.0_lc.fits 14353920 30682174 PUBLIC 4 KEPLER EVEREST "K2 Campaign 13" "" 2017 9
science HLSP K2SFF Kepler K2 KEPLER OPTICAL ktwo246676629 "" hlsp_k2sff_k2_lightcurve_246676629-c13_kepler_v1_llc 74.86839 14.273303 timeseries "Andrew Vanderburg" 4 57820.06603603009 57900.65616869213 1800.0 418.4 905.0 "" 58689.620405 N/A "" 13 "CIRCLE 74.86839 14.273303 0.0011111111111111111" mast:HLSP/k2sff/c13/246600000/76629/hlsp_k2sff_k2_lightcurve_246676629-c13_kepler_v1_llc.png mast:HLSP/k2sff/c13/246600000/76629/hlsp_k2sff_k2_lightcurve_246676629-c13_kepler_v1_llc.fits PUBLIC False nan 30329311 602688895 602688895 0.0 1800 30329311 HLSP timeseries FITS S mast:HLSP/k2sff/c13/246600000/76629/hlsp_k2sff_k2_lightcurve_246676629-c13_kepler_v1_llc.fits SCIENCE "Minimum Recommended Products" "" "" K2SFF 19 N/A hlsp_k2sff_k2_lightcurve_246676629-c13_kepler_v1_llc.fits 3360960 30329311 PUBLIC 4 KEPLER K2SFF "K2 Campaign 13" "" 2017 9
science TESS SPOC Photometer TESS TESS Optical 59129133 "" tess2021258175143-s0043-0000000059129133-0214-s 74.8683970426215 14.2733048284887 timeseries "Ricker, George" 3 59473.666812766205 59498.38014984954 120.0 600.0 1000.0 "" 59526.0 G04168_G04131 "" 43 "CIRCLE 74.86839704 14.27330483 0.00138889" "" mast:TESS/product/tess2021258175143-s0043-0000000059129133-0214-s_lc.fits PUBLIC False nan 65359654 123396529 123396529 0.0 120 65359654 TESS timeseries "Light curves" S mast:TESS/product/tess2021258175143-s0043-0000000059129133-0214-s_lc.fits SCIENCE "Minimum Recommended Products" LC "" SPOC dc7bea856c G04168_G04131 tess2021258175143-s0043-0000000059129133-0214-s_lc.fits 1811520 65359654 PUBLIC 3 TESS SPOC "TESS Sector 43" "" 2021 1
science TESS SPOC Photometer TESS TESS Optical 59129133 "" tess2021284114741-s0044-0000000059129133-0215-s 74.8683970426215 14.2733048284887 timeseries "Ricker, George" 3 59499.6955462037 59523.944377291664 120.0 600.0 1000.0 "" 59563.0 G04168_G04131 "" 44 "CIRCLE 74.86839704 14.27330483 0.00138889" "" mast:TESS/product/tess2021284114741-s0044-0000000059129133-0215-s_lc.fits PUBLIC False nan 68723715 132333287 132333287 0.0 120 68723715 TESS timeseries "Light curves" S mast:TESS/product/tess2021284114741-s0044-0000000059129133-0215-s_lc.fits SCIENCE "Minimum Recommended Products" LC "" SPOC e33f2a7d16 G04168_G04131 tess2021284114741-s0044-0000000059129133-0215-s_lc.fits 1776960 68723715 PUBLIC 3 TESS SPOC "TESS Sector 44" "" 2021 1
science HLSP TESS-SPOC Photometer TESS TESS Optical 59129133 "" hlsp_tess-spoc_tess_phot_0000000059129133-s0043_tess_v1_tp 74.8683970426215 14.2733048284887 timeseries "Douglas A. Caldwell" 4 59473.666812766205 59498.39126181713 600.0 600.0 1000.0 "" 59925.68237254 N/A "" 43 "CIRCLE 74.8683970426215 14.2733048284887 0.0011111111111111111" "" mast:HLSP/tess-spoc/s0043/target/0000/0000/5912/9133/hlsp_tess-spoc_tess_phot_0000000059129133-s0043_tess_v1_lc.fits PUBLIC False nan 104045457 193759589 193759589 0.0 600 104045457 HLSP timeseries FITS D mast:HLSP/tess-spoc/s0043/target/0000/0000/5912/9133/hlsp_tess-spoc_tess_phot_0000000059129133-s0043_tess_v1_lc.fits SCIENCE "Minimum Recommended Products" "" "" TESS-SPOC 62 N/A hlsp_tess-spoc_tess_phot_0000000059129133-s0043_tess_v1_lc.fits 385920 104045457 PUBLIC 4 TESS TESS-SPOC "TESS Sector 43" "" 2021 2
science HLSP TESS-SPOC Photometer TESS TESS Optical 59129133 "" hlsp_tess-spoc_tess_phot_0000000059129133-s0044_tess_v1_tp 74.8683970426215 14.2733048284887 timeseries "Douglas A. Caldwell" 4 59499.68999017361 59523.94159938658 600.0 600.0 1000.0 "" 59933.43174768 N/A "" 44 "CIRCLE 74.8683970426215 14.2733048284887 0.0011111111111111111" "" mast:HLSP/tess-spoc/s0044/target/0000/0000/5912/9133/hlsp_tess-spoc_tess_phot_0000000059129133-s0044_tess_v1_lc.fits PUBLIC False nan 106437234 197668884 197668884 0.0 600 106437234 HLSP timeseries FITS D mast:HLSP/tess-spoc/s0044/target/0000/0000/5912/9133/hlsp_tess-spoc_tess_phot_0000000059129133-s0044_tess_v1_lc.fits SCIENCE "Minimum Recommended Products" "" "" TESS-SPOC 64 N/A hlsp_tess-spoc_tess_phot_0000000059129133-s0044_tess_v1_lc.fits 380160 106437234 PUBLIC 4 TESS TESS-SPOC "TESS Sector 44" "" 2021 2
science HLSP QLP Photometer TESS TESS Optical 59129133 "" hlsp_qlp_tess_ffi_s0005-0000000059129133_tess_v01_llc 74.8683970426 14.2733048285 timeseries "Chelsea X. Huang" 4 58437.49541694 58463.76662633 1800.0 600.0 1000.0 "" 59255.52156242 N/A "" 5 "CIRCLE ICRS 74.86839704 14.27330483 0.00111111" "" mast:HLSP/qlp/s0005/0000/0000/5912/9133/hlsp_qlp_tess_ffi_s0005-0000000059129133_tess_v01_llc.fits PUBLIC False nan 57781650 101723252 101723252 0.0 1800 57781650 HLSP timeseries FITS C mast:HLSP/qlp/s0005/0000/0000/5912/9133/hlsp_qlp_tess_ffi_s0005-0000000059129133_tess_v01_llc.fits SCIENCE "Minimum Recommended Products" "" "" QLP "" N/A hlsp_qlp_tess_ffi_s0005-0000000059129133_tess_v01_llc.fits 77760 57781650 PUBLIC 4 TESS QLP "TESS Sector 05" "" 2018 3
science HLSP QLP "" TESS TESS Optical 59129133 "" hlsp_qlp_tess_ffi_s0032-0000000059129133_tess_v01_llc 74.8683970426 14.2733048285 timeseries "Chelsea X. Huang" 4 59173.73137218924 59199.73148419289 600.0 600.0 1000.0 "" 59565.73175915 N/A "" 32 "CIRCLE ICRS 74.86839704 14.27330483 0.00111111" "" mast:HLSP/qlp/s0032/0000/0000/5912/9133/hlsp_qlp_tess_ffi_s0032-0000000059129133_tess_v01_llc.fits PUBLIC False nan 66920959 132539436 132539436 0.0 600 66920959 HLSP timeseries FITS C mast:HLSP/qlp/s0032/0000/0000/5912/9133/hlsp_qlp_tess_ffi_s0032-0000000059129133_tess_v01_llc.fits SCIENCE "Minimum Recommended Products" "" "" QLP "" N/A hlsp_qlp_tess_ffi_s0032-0000000059129133_tess_v01_llc.fits 210240 66920959 PUBLIC 4 TESS QLP "TESS Sector 32" "" 2020 3
science HLSP QLP Photometer TESS TESS Optical 59129133 "" hlsp_qlp_tess_ffi_s0043-0000000059129133_tess_v01_llc 74.8683970426 14.2733048285 timeseries "Chelsea X. Huang" 4 59473.67110837344 59498.38861252414 600.0 600.0 1000.0 "" 59920.91842577 N/A "" 43 "CIRCLE 74.8683970426 14.2733048285 0.0011111111111111111" "" mast:HLSP/qlp/s0043/0000/0000/5912/9133/hlsp_qlp_tess_ffi_s0043-0000000059129133_tess_v01_llc.fits PUBLIC False nan 103406324 192307596 192307596 0.0 600 103406324 HLSP timeseries FITS D mast:HLSP/qlp/s0043/0000/0000/5912/9133/hlsp_qlp_tess_ffi_s0043-0000000059129133_tess_v01_llc.fits SCIENCE "Minimum Recommended Products" "" "" QLP "" N/A hlsp_qlp_tess_ffi_s0043-0000000059129133_tess_v01_llc.fits 201600 103406324 PUBLIC 4 TESS QLP "TESS Sector 43" "" 2021 3
science HLSP QLP Photometer TESS TESS Optical 59129133 "" hlsp_qlp_tess_ffi_s0044-0000000059129133_tess_v01_llc 74.8683970426 14.2733048285 timeseries "Chelsea X. Huang" 4 59499.69428550871 59523.93895000359 600.0 600.0 1000.0 "" 59934.44987262 N/A "" 44 "CIRCLE 74.8683970426 14.2733048285 0.0011111111111111111" "" mast:HLSP/qlp/s0044/0000/0000/5912/9133/hlsp_qlp_tess_ffi_s0044-0000000059129133_tess_v01_llc.fits PUBLIC False nan 106783560 198184750 198184750 0.0 600 106783560 HLSP timeseries FITS D mast:HLSP/qlp/s0044/0000/0000/5912/9133/hlsp_qlp_tess_ffi_s0044-0000000059129133_tess_v01_llc.fits SCIENCE "Minimum Recommended Products" "" "" QLP "" N/A hlsp_qlp_tess_ffi_s0044-0000000059129133_tess_v01_llc.fits 192960 106783560 PUBLIC 4 TESS QLP "TESS Sector 44" "" 2021 3
